disease,compound_groundTruth,disease_groundTruth,text,llm_answer,context_volume
Langerhans-cell histiocytosis,"['Vinblastine', 'Cytarabine', 'Vincristine', 'Mercaptopurine', 'Prednisone']","['lipid storage disease', 'Froelich syndrome', 'hypopituitarism', 'malignant histiocytic disease', 'epulis', 'gingival disease', 'Birt-Hogg-Dube syndrome', 'cutaneous fibrous histiocytoma', 'orbital disease', 'hypothalamic disease', 'skull cancer', 'interdigitating dendritic cell sarcoma', 'anus disease', 'exanthem', 'Sheehan syndrome', 'neurohypophyseal diabetes insipidus', 'vulvar disease', 'histiocytosis', 'primary sclerosing cholangitis', 'xanthomatosis', 'juvenile xanthogranuloma', 'fibrous histiocytoma', 'diabetes insipidus', 'hemophagocytic lymphohistiocytosis', 'hypothalamic neoplasm', 'reticulohistiocytic granuloma', 'nail disease', 'Langerhans cell sarcoma', 'histiocytic sarcoma', 'severe combined immunodeficiency', 'scalp dermatosis', 'eyelid disease', 'mastoiditis', 'Erdheim-Chester disease', 'MHC class II deficiency', 'sclerosing cholangitis', 'hairy cell leukemia', 'non-Langerhans-cell histiocytosis', 'lymphangioleiomyomatosis']",What compounds treat 'Langerhans-cell histiocytosis' and what diseases resemble 'Langerhans-cell histiocytosis'?,"{""Compounds"":[""Prednisone"", ""Vinblastine"", ""Cytarabine"", ""Vincristine"", ""Mercaptopurine""], ""Diseases"":[""histiocytosis"", ""non-Langerhans-cell histiocytosis"", ""malignant histiocytic disease"", ""histiocytic sarcoma"", ""hemophagocytic lymphohistiocytosis"", ""anus disease"", ""juvenile xanthogranuloma"", ""MHC class II deficiency"", ""Langerhans cell sarcoma"", ""severe combined immunodeficiency"", ""orbital disease"", ""hairy cell leukemia"", ""mastoiditis"", ""reticulohistiocytic granuloma"", ""fibrous histiocytoma""]}",200
Leber congenital amaurosis,['VORETIGENE NEPARVOVEC'],"['coloboma', 'retinal degeneration', 'optic nerve disease', 'Bardet-Biedl syndrome', 'fundus dystrophy', 'Coats disease', 'red-green color blindness', 'night blindness', 'congenital nystagmus', 'Leber hereditary optic neuropathy', 'red color blindness', 'optic atrophy', 'achromatopsia', 'amelogenesis imperfecta', 'peroxisomal disease', 'retinitis pigmentosa', 'choroideremia', 'hypertrichosis', 'acquired color blindness', 'Foster-Kennedy syndrome', 'cystic kidney disease', 'blue color blindness', 'color blindness']",What compounds treat 'Leber congenital amaurosis' and what diseases resemble 'Leber congenital amaurosis'?,"{""Compounds"": [""VORETIGENE NEPARVOVEC""], ""Diseases"": [""congenital nystagmus"", ""retinal degeneration"", ""amelogenesis imperfecta"", ""acquired color blindness"", ""optic nerve disease"", ""color blindness"", ""night blindness"", ""Leber hereditary optic neuropathy"", ""choroideremia"", ""achromatopsia"", ""coloboma""]}",200
Lennox-Gastaut syndrome,"['Cannabidiol', 'Perampanel', 'Clobazam', 'Rufinamide', 'Lamotrigine', 'Topiramate', 'Soticlestat']","['West syndrome', 'Landau-Kleffner syndrome', 'status epilepticus', 'focal epilepsy', 'early myoclonic encephalopathy', 'idiopathic generalized epilepsy']",What compounds treat 'Lennox-Gastaut syndrome' and what diseases resemble 'Lennox-Gastaut syndrome'?,"{""Compounds"":[""Lamotrigine"", ""Clobazam"", ""Cannabidiol"", ""Soticlestat"", ""Topiramate"", ""Rufinamide"", ""Perampanel""], ""Diseases"":[""idiopathic generalized epilepsy"", ""West syndrome"", ""early myoclonic encephalopathy""]}",200
Lyme disease,"['Doxycycline', 'Sodium Chloride', 'Ceftriaxone', 'Permethrin']","['aseptic meningitis', 'polyneuropathy', 'encephalomyelitis', ""Bell's palsy"", 'louse-borne relapsing fever', 'meningoencephalitis', 'reactive arthritis', 'granulomatous angiitis', 'critical illness polyneuropathy', 'polyradiculoneuropathy', 'Rocky Mountain spotted fever', 'myelitis', 'bacterial meningitis', 'babesiosis', 'tick-borne encephalitis', 'Siberian tick typhus', 'radiculopathy', 'suppurative uveitis', 'cranial nerve palsy', 'facial paralysis', 'acrodermatitis', 'central nervous system vasculitis', 'geographic tongue', 'connective tissue disease', 'dirofilariasis', 'ehrlichiosis', 'neuritis', 'atrioventricular block', 'relapsing fever', 'rickettsialpox', 'spotted fever', 'localized scleroderma', 'scleroderma', 'cranial nerve disease', 'motor neuritis', 'tick infestation', 'septic arthritis']",What compounds treat 'Lyme disease' and what diseases resemble 'Lyme disease'?,"{""Compounds"":[""Ceftriaxone"", ""Doxycycline"", ""Cefuroxime"", ""Cefuroxime axetil"", ""Permethrin"", ""Sodium Chloride""], ""Diseases"":[""bacterial meningitis"", ""meningoencephalitis"", ""encephalomyelitis"", ""neuritis"", ""myelitis"", ""rickettsialpox"", ""dirofilariasis"", ""septic arthritis"", ""radiculopathy"", ""relapsing fever"", ""ehrlichiosis"", ""connective tissue disease"", ""motor neuritis""]}",200
Marfan syndrome,"['Nebivolol', 'Losartan', 'Atenolol', 'Perindopril', 'Aliskiren']","['coloboma', 'Loeys-Dietz syndrome', 'Ehlers-Danlos syndrome', 'Weill-Marchesani syndrome', 'bicuspid aortic valve disease', 'mitral valve prolapse', 'homocystinuria', 'intracranial hypotension', 'DiGeorge syndrome', 'osteogenesis imperfecta', 'lens subluxation', 'pseudoxanthoma elasticum', 'craniosynostosis', 'tricuspid valve prolapse', 'aortic aneurysm', 'connective tissue disease', 'velocardiofacial syndrome', 'coronary aneurysm', 'progeria', 'cutis laxa', 'mucopolysaccharidosis I', 'osteogenesis imperfecta type 1', 'isolated ectopia lentis', 'mucopolysaccharidosis Ih/s', 'blepharophimosis', 'meningocele', 'mucopolysaccharidosis Ih']",What compounds treat 'Marfan syndrome' and what diseases resemble 'Marfan syndrome'?,"{""Compounds"":[""Atenolol"", ""Losartan"", ""Perindopril"", ""Nebivolol"", ""Aliskiren""], ""Diseases"":[""connective tissue disease"", ""mucopolysaccharidosis I"", ""mucopolysaccharidosis Ih/s"", ""meningocele"", ""velocardiofacial syndrome""]}",200
Menkes disease,['Histidine'],"['cutis laxa', 'hair disease', 'Ehlers-Danlos syndrome', 'cytochrome-c oxidase deficiency disease', 'Wilson disease', 'bladder disease']",What compounds treat 'Menkes disease' and what diseases resemble 'Menkes disease'?,"{""Compounds"":[""Histidine""], ""Diseases"":[""cytochrome-c oxidase deficiency disease"", ""Wilson disease"", ""bladder disease"", ""cutis laxa""]}",200
Noonan syndrome,"['Simvastatin', 'SOMATROPIN']","['familial hypertrophic cardiomyopathy', 'coloboma', 'neurofibromatosis 1', 'giant cell reparative granuloma', 'Clouston syndrome', 'granular cell tumor', 'lymphangioma', 'cystic lymphangioma', 'Costello syndrome', 'juvenile myelomonocytic leukemia', 'factor XI deficiency', 'bone marrow cancer', 'craniosynostosis', 'hereditary lymphedema I', 'hemorrhagic disease', 'nodular tenosynovitis', 'cherubism', 'Noonan syndrome with multiple lentigines', 'isolated growth hormone deficiency', 'loose anagen hair syndrome', 'Turner syndrome', 'Moyamoya disease', 'ectodermal dysplasia', 'coronary aneurysm', 'lymphedema', 'neurofibromatosis', 'protein-losing enteropathy', 'tenosynovial giant cell tumor', 'atrioventricular septal defect', 'atrial heart septal defect', 'pulmonary valve stenosis', 'cryptorchidism', 'pigmented villonodular synovitis']",What compounds treat 'Noonan syndrome' and what diseases resemble 'Noonan syndrome'?,"{""Compounds"":[""Simvastatin"", ""SOMATROPIN"", ""Fluoxymesterone""], ""Diseases"":[""neurofibromatosis"", ""lymphedema"", ""bone marrow cancer"", ""Turner syndrome"", ""pulmonary valve stenosis"", ""Costello syndrome"", ""Clouston syndrome"", ""craniosynostosis"", ""nodular tenosynovitis"", ""cherubism"", ""isolated growth hormone deficiency"", ""hemorrhagic disease"", ""coloboma"", ""atrial heart septal defect""]}",200
Parkinson's disease,"['Inosine', 'Sumanirole', 'Posiphen', 'Tyramine', 'Piribedil', 'Benztropine', 'Caffeine', 'Rifaximin', 'Rasagiline', 'Procyclidine', 'Donepezil', 'Amantadine', 'Profenamine', 'Trihexyphenidyl', 'Biperiden', 'Metixene', 'Cesamet', 'Rivastigmine', 'Pitolisant', 'Bromocriptine', 'Ropinirole', 'Selegiline', 'Lisuride', 'Buspirone', 'Pramipexole', 'Memantine', 'Preladenant', 'Oxycodone', 'Pergolide', 'Venlafaxine', 'Cabergoline', 'Tolcapone', 'Entacapone', 'Levodopa', 'Apomorphine', 'INCOBOTULINUMTOXINA', 'Benserazide', 'Atropine', 'Dopamine', 'Rivastigmine tartrate', 'Alpha-Tocopherol', 'Tavapadon', 'Ampreloxetine', 'Perampanel', 'Opicapone', 'Isradipine', 'Orphenadrine', 'Tozadenant', 'Coenzyme Q10', 'Rotigotine', 'Istradefylline', 'Pardoprunox', 'Duloxetine', 'Paroxetine', 'Carbidopa', 'Exenatide Synthetic', ""Levodopa-4'-monophosphate"", 'Naloxone', 'Creatine', 'Safinamide']","['neurodegenerative disease', 'essential tremor']",What compounds treat 'Parkinson's disease' and what diseases resemble 'Parkinson's disease'?,"{""Compounds"":[""Levodopa"", ""Dopamine"", ""Pramipexole"", ""Donepezil"", ""Paroxetine"", ""Rivastigmine"", ""Oxycodone"", ""Preladenant"", ""Carbidopa"", ""Orphenadrine"", ""Naloxone"", ""Pergolide"", ""Pardoprunox"", ""Bromocriptine"", ""Apomorphine"", ""Pitolisant"", ""Procyclidine"", ""Duloxetine"", ""Tyramine"", ""Memantine"", ""Amantadine"", ""Posiphen"", ""Selegiline"", ""Rasagiline"", ""Venlafaxine"", ""Ampreloxetine"", ""Caffeine"", ""Trihexyphenidyl"", ""Buspirone"", ""Cabergoline"", ""Benserazide"", ""Ropinirole"", ""Piribedil"", ""Tozadenant"", ""Metixene"", ""Lisuride"", ""Rotigotine"", ""Rifaximin"", ""Perampanel"", ""Atropine"", ""Exenatide Synthetic"", ""Cycrimine"", ""Profenamine"", ""Benztropine"", ""Sumanirole"", ""Safinamide"", ""Istradefylline"", ""Entacapone"", ""INCOBOTULINUMTOXINA"", ""Alpha-Tocopherol"", ""Coenzyme Q10"", ""Opicapone"", ""Creatine"", ""Isradipine"", ""Cesamet"", ""Rivastigmine tartrate"", ""Inosine"", ""Levodopa-4'-monophosphate"", ""Tolcapone"", ""Biperiden"", ""Tavapadon""], ""Diseases"":[""neurodegenerative disease"", ""essential tremor""]}",200
Sandhoff disease,['Miglustat'],"['glycoproteinosis', 'gangliosidosis', 'lateral sclerosis', 'motor neuron disease', 'Krabbe disease', 'GM1 gangliosidosis', 'mongolian spot', 'anterior horn cell disease', 'Tay-Sachs disease']",What compounds treat 'Sandhoff disease' and what diseases resemble 'Sandhoff disease'?,"{""Compounds"":[""Miglustat""], ""Diseases"":[""glycoproteinosis"", ""Tay-Sachs disease"", ""gangliosidosis""]}",200
Sjogren-Larsson syndrome,['2-(3-Amino-6-chloroquinolin-2-yl)propan-2-ol'],"['autosomal recessive congenital ichthyosis', 'ichthyosis', 'mongolian spot']",What compounds treat 'Sjogren-Larsson syndrome' and what diseases resemble 'Sjogren-Larsson syndrome'?,"{""Compounds"":[""2-(3-Amino-6-chloroquinolin-2-yl)propan-2-ol""], ""Diseases"":[]}",200
Sly syndrome,['VESTRONIDASE ALFA'],"['mucopolysaccharidosis type IIIC', 'mucopolysaccharidosis VI', 'mucopolysaccharidosis type IIIB', 'mucopolysaccharidosis I', 'lysosomal storage disease', 'mucopolysaccharidosis Ih/s', 'mucopolysaccharidosis type IIID', 'mucopolysaccharidosis III', 'mucopolysaccharidosis type IIIA', 'mucopolysaccharidosis Ih']",What compounds treat 'Sly syndrome' and what diseases resemble 'Sly syndrome'?,"{""Compounds"":[""VESTRONIDASE ALFA""], ""Diseases"":[""mucopolysaccharidosis"", ""mucopolysaccharidosis I"", ""lysosomal storage disease"", ""mucopolysaccharidosis III"", ""mucopolysaccharidosis type IIIC"", ""mucopolysaccharidosis type IIIA"", ""mucopolysaccharidosis type IIIB"", ""mucopolysaccharidosis type IIID"", ""mucopolysaccharidosis Ih/s"", ""mucopolysaccharidosis VI"", ""mucopolysaccharidosis Ih""]}",200
Smith-Magenis syndrome,['Tasimelteon'],"['Angelman syndrome', 'velocardiofacial syndrome', 'Williams-Beuren syndrome', 'Birt-Hogg-Dube syndrome', 'DiGeorge syndrome']",What compounds treat 'Smith-Magenis syndrome' and what diseases resemble 'Smith-Magenis syndrome'?,"{""Compounds"":[""Tasimelteon""], ""Diseases"":[""DiGeorge syndrome"", ""Williams-Beuren syndrome"", ""velocardiofacial syndrome""]}",200
Stargardt disease,"['1-(3-(4-(3,4-Difluoro-2-(trifluoromethyl)phenyl)piperidine-1-carbonyl)-1H,4H,5H,6H,7H-pyrazolo(3,4-C)pyridin-6-yl)ethan-1-one', 'Emixustat']","['choroid disease', 'fundus dystrophy', 'retinitis pigmentosa', 'scotoma']",What compounds treat 'Stargardt disease' and what diseases resemble 'Stargardt disease'?,"{""Compounds"":[""1-(3-(4-(3,4-Difluoro-2-(trifluoromethyl)phenyl)piperidine-1-carbonyl)-1H,4H,5H,6H,7H-pyrazolo(3,4-C)pyridin-6-yl)ethan-1-one""], ""Diseases"":[""fundus dystrophy"", ""scotoma"", ""age related macular degeneration"", ""retinitis pigmentosa"", ""choroid disease""]}",200
Turner syndrome,"['SOMATROPIN', 'Oxandrolone', 'Medroxyprogesterone acetate', 'Equilin sulfate', 'Estradiol', 'Ethinyl estradiol']","['familial male-limited precocious puberty', 'pilomatrixoma', 'hypogonadism', 'McCune Albright syndrome', 'central precocious puberty', 'hypopituitarism', 'pseudohypoparathyroidism', 'malignant hyperthermia', 'bicuspid aortic valve disease', '46,XY sex reversal', 'cystic lymphangioma', 'lymphangioma', '46 XX gonadal dysgenesis', 'primary ovarian insufficiency', 'gonadoblastoma', 'Sheehan syndrome', 'nail-patella syndrome', 'gonadal dysgenesis', 'telangiectasis', 'pterygium', 'pseudopseudohypoparathyroidism', 'Klinefelter syndrome', 'ovarian disease', 'isolated growth hormone deficiency', 'androgen insensitivity syndrome', 'Prader-Willi syndrome', 'dysgerminoma', 'complete androgen insensitivity syndrome', 'fragile X syndrome', 'disorder of sexual development', 'mixed gonadal dysgenesis', 'Klippel-Feil syndrome', 'Noonan syndrome', 'hermaphroditism', 'autoimmune thyroiditis', 'pseudohermaphroditism', 'eunuchism', 'amenorrhea']",What compounds treat 'Turner syndrome' and what diseases resemble 'Turner syndrome'?,"{""Compounds"":[""Estradiol"", ""Oxandrolone"", ""Ethinyl estradiol"", ""Medroxyprogesterone acetate"", ""Equilin sulfate"", ""SOMATROPIN""], ""Diseases"":[""fragile X syndrome"", ""disorder of sexual development"", ""complete androgen insensitivity syndrome"", ""46 XX gonadal dysgenesis"", ""autoimmune thyroiditis"", ""malignant hyperthermia"", ""androgen insensitivity syndrome"", ""primary ovarian insufficiency"", ""46,XY sex reversal"", ""gonadal dysgenesis"", ""hypogonadism"", ""hypopituitarism"", ""mixed gonadal dysgenesis"", ""eunuchism"", ""pterygium"", ""dysgerminoma""]}",200
Wolff-Parkinson-White syndrome,"['Propranolol', 'Adenosine']","['familial hypertrophic cardiomyopathy', 'Lown-Ganong-Levine syndrome', 'rheumatic heart disease', 'Ebstein anomaly', 'dextrocardia', 'Danon disease', 'Brugada syndrome', 'mitral valve prolapse']",What compounds treat 'Wolff-Parkinson-White syndrome' and what diseases resemble 'Wolff-Parkinson-White syndrome'?,"{""Compounds"":[""Propranolol"", ""Adenosine""], ""Diseases"":[""dextrocardia""]}",200
acute promyelocytic leukemia,"['Idarubicin', 'Tretinoin', 'Mitoxantrone', 'Indigo', 'Cytarabine', '2,4,6,8,9,10-Hexaoxa-1,3,5,7-tetraarsatricyclo[3.3.1.13,7]decane', 'Dexamethasone', 'Hydroxyurea', 'Methotrexate', 'Daunorubicin', 'Mercaptopurine']","['leukostasis', 'myeloid sarcoma', 'Sweet syndrome', 'central nervous system cancer', 'pseudotumor cerebri', 'disseminated intravascular coagulation', 'acute monocytic leukemia', 'acute myelomonocytic leukemia']",What compounds treat 'acute promyelocytic leukemia' and what diseases resemble 'acute promyelocytic leukemia'?,"{""Compounds"":[""Cytarabine"", ""Mitoxantrone"", ""Methotrexate"", ""Hydroxyurea"", ""Mercaptopurine"", ""Daunorubicin"", ""Tretinoin"", ""Dexamethasone"", ""Idarubicin"", ""2,4,6,8,9,10-Hexaoxa-1,3,5,7-tetraarsatricyclo[3.3.1.13,7]decane"", ""Indigo""], ""Diseases"":[""acute myeloid leukemia"", ""acute monocytic leukemia"", ""acute myelomonocytic leukemia"", ""central nervous system cancer"", ""leukostasis"", ""myeloid sarcoma"", ""pseudotumor cerebri""]}",200
