disease_name,gene_name,gwas_pvalue,question,question_perturbed,kg_rag_answer,total_tokens_used,kg_rag_answer_perturbed,total_tokens_used_perturbed
hemorrhoid,GMDS,2e-31,Is GMDS associated with hemorrhoid?,Is gmds associated with hemorrhoid?,"Yes, the gene GMDS is associated with the disease hemorrhoid. This association is proven by GWAS with a p-value of 2e-31.",2033,"Yes, the gene GMDS is associated with the disease hemorrhoid. This association is proven by GWAS with a p-value of 2e-31.",2033
rheumatoid arthritis,DPP4,2e-21,What is the GWAS p-value for the association between rheumatoid arthritis and DPP4?,What is the GWAS p-value for the association between rheumatoid arthritis and dpp4?,The GWAS p-value for the association between rheumatoid arthritis and DPP4 is 2e-21. (Provenance: GWAS),6078,The GWAS p-value for the association between rheumatoid arthritis and the gene DPP4 is 2e-21. The provenance of this association is GWAS.,6082
colon carcinoma,SMAD7,3e-08,What is the GWAS p-value for the association between SMAD7 and colon carcinoma?,What is the GWAS p-value for the association between smad7 and colon carcinoma?,The GWAS p-value for the association between SMAD7 and colon carcinoma is 3e-08. The provenance of this information is GWAS.,246,The GWAS p-value for the association between SMAD7 and colon carcinoma is 3e-08. The provenance of this information is GWAS.,246
pulmonary hypertension,PKIA,2e-09,What is the GWAS p-value for the association between PKIA and pulmonary hypertension?,What is the GWAS p-value for the association between pkia and pulmonary hypertension?,The GWAS p-value for the association between PKIA and pulmonary hypertension is 2e-09. The provenance of this association is GWAS.,2061,The GWAS p-value for the association between PKIA and pulmonary hypertension is 2e-09 (Provenance: GWAS).,2058
autoimmune thyroiditis,TNFRSF14,2e-11,What is the GWAS p-value for the association between autoimmune thyroiditis and TNFRSF14?,What is the GWAS p-value for the association between autoimmune thyroiditis and tnfrsf14?,The GWAS p-value for the association between autoimmune thyroiditis and TNFRSF14 is 2e-11 (Provenance: GWAS).,1798,The GWAS p-value for the association between autoimmune thyroiditis and TNFRSF14 is 2e-11. (Provenance: GWAS),1799
psoriatic arthritis,CNTNAP2,5e-28,Is psoriatic arthritis associated with CNTNAP2?,Is psoriatic arthritis associated with cntnap2?,"Yes, psoriatic arthritis is associated with the gene CNTNAP2. The provenance of this association is GWAS. (Provenance: GWAS)",2001,"Yes, psoriatic arthritis is associated with the gene CNTNAP2. The provenance of this association is GWAS. (Provenance: GWAS)",2001
primary biliary cholangitis,CCDC88B,1e-10,Is primary biliary cholangitis associated with CCDC88B?,Is primary biliary cholangitis associated with ccdc88b?,"Yes, primary biliary cholangitis is associated with the gene CCDC88B. The provenance of this association is GWAS (Genome-Wide Association Studies). The attributes associated with this association indicate a GWAS p-value of 1e-10, suggesting a statistically significant association. (Provenance: GWAS)",2425,"Yes, primary biliary cholangitis is associated with the gene CCDC88B. The provenance of this association is GWAS (Genome-Wide Association Studies). {'sources': ['GWAS'], 'gwas_pvalue': 1e-10}",2411
otosclerosis,MARK3,3e-18,Is MARK3 associated with otosclerosis?,Is mark3 associated with otosclerosis?,"Yes, the gene MARK3 is associated with the disease otosclerosis. The provenance of this association is GWAS.",487,"Yes, the gene MARK3 is associated with the disease otosclerosis. The provenance of this association is GWAS with a p-value of 3e-18.",497
large intestine cancer,RHPN2,4e-41,What is the GWAS p-value for the association between RHPN2 and large intestine cancer?,What is the GWAS p-value for the association between rhpn2 and large intestine cancer?,The GWAS p-value for the association between RHPN2 and large intestine cancer is 4e-41. (Provenance: GWAS),1836,The GWAS p-value for the association between RHPN2 and large intestine cancer is 4e-41. (Provenance: GWAS),1836
anxiety disorder,NTRK2,7e-09,Is anxiety disorder associated with NTRK2?,Is anxiety disorder associated with ntrk2?,"Yes, anxiety disorder is associated with the gene NTRK2. The provenance of this association is GWAS. (Provenance: GWAS)",619,"Yes, anxiety disorder is associated with the gene NTRK2. The provenance of this association is GWAS. (Provenance: GWAS)",619
atopic dermatitis,RERE,6e-16,Is atopic dermatitis associated with RERE?,Is atopic dermatitis associated with rere?,"Yes, atopic dermatitis is associated with the gene RERE. The provenance of this association is GWAS.",2872,"Yes, atopic dermatitis is associated with the gene RERE. The provenance of this association is GWAS.",2872
asthma,PRR5L,6e-12,Is PRR5L associated with asthma?,Is prr5l associated with asthma?,"Yes, the gene PRR5L is associated with the disease asthma. The provenance of this association is GWAS (Genome-Wide Association Studies). The GWAS p-value for this association is 6e-12, indicating a statistically significant association. (Provenance: GWAS)",8613,"Yes, the gene PRR5L is associated with the disease asthma. The provenance of this association is GWAS (Genome-Wide Association Studies). The GWAS p-value for this association is 6e-12, indicating a statistically significant association. (Provenance: GWAS)",8613
gastric fundus cancer,GON4L,1e-15,What is the GWAS p-value for the association between gastric fundus cancer and GON4L?,What is the GWAS p-value for the association between gastric fundus cancer and gon4l?,The GWAS p-value for the association between gastric fundus cancer and GON4L is 1e-15. The provenance of this information is GWAS.,464,The GWAS p-value for the association between gastric fundus cancer and GON4L is 1e-15. The provenance of this information is GWAS.,464
type 2 diabetes mellitus,DNAH1,7e-21,Is type 2 diabetes mellitus associated with DNAH1?,Is type 2 diabetes mellitus associated with dnah1?,"Yes, type 2 diabetes mellitus is associated with the gene DNAH1. The provenance of this association is GWAS (Genome-Wide Association Studies) with a GWAS p-value of 7e-21.",7818,"Yes, type 2 diabetes mellitus is associated with the gene DNAH1. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 7e-21, indicating a statistically significant association.",7822
schizophrenia,SLC17A3,3e-20,What is the GWAS p-value for the association between schizophrenia and SLC17A3?,What is the GWAS p-value for the association between schizophrenia and slc17a3?,The GWAS p-value for the association between schizophrenia and SLC17A3 is 3e-20.,7909,The GWAS p-value for the association between schizophrenia and SLC17A3 is 3e-20. (Provenance: GWAS),7917
inflammatory bowel disease,FADS2,2e-15,What is the GWAS p-value for the association between inflammatory bowel disease and FADS2?,What is the GWAS p-value for the association between inflammatory bowel disease and fads2?,The GWAS p-value for the association between inflammatory bowel disease and FADS2 is 2e-15.,5413,The GWAS p-value for the association between inflammatory bowel disease and FADS2 is 2e-15.,5413
opiate dependence,ADGRV1,2e-09,Is opiate dependence associated with ADGRV1?,Is opiate dependence associated with adgrv1?,"Yes, opiate dependence is associated with the gene ADGRV1. The provenance of this association is GWAS.",1054,"Yes, opiate dependence is associated with the gene ADGRV1. The provenance of this association is GWAS.",1054
attention deficit hyperactivity disorder,ST3GAL3,8e-14,What is the GWAS p-value for the association between attention deficit hyperactivity disorder and ST3GAL3?,What is the GWAS p-value for the association between attention deficit hyperactivity disorder and st3gal3?,The GWAS p-value for the association between attention deficit hyperactivity disorder and ST3GAL3 is 8e-14 (Provenance: GWAS).,5772,The GWAS p-value for the association between attention deficit hyperactivity disorder and ST3GAL3 is 8e-14 (Provenance: GWAS).,5772
cataract,C3orf49,2e-11,Is C3orf49 associated with cataract?,Is c3orf49 associated with cataract?,"Yes, the gene C3orf49 is associated with the disease cataract. The provenance of this association is GWAS (Genome-Wide Association Studies). The GWAS p-value for this association is 2e-11, indicating a statistically significant association.",4172,"Yes, the gene C3orf49 is associated with the disease cataract. The provenance of this association is GWAS (Genome-Wide Association Studies).",4151
duodenal ulcer,PLD1,5e-08,What is the GWAS p-value for the association between PLD1 and duodenal ulcer?,What is the GWAS p-value for the association between pld1 and duodenal ulcer?,The GWAS p-value for the association between PLD1 and duodenal ulcer is 5e-08. (Provenance: GWAS),961,The GWAS p-value for the association between PLD1 and duodenal ulcer is 5e-08. (Provenance: GWAS),961
chronic obstructive pulmonary disease,CHRNA3,5e-28,What is the GWAS p-value for the association between CHRNA3 and chronic obstructive pulmonary disease?,What is the GWAS p-value for the association between chrna3 and chronic obstructive pulmonary disease?,The GWAS p-value for the association between CHRNA3 and chronic obstructive pulmonary disease is 5e-28.,8144,The GWAS p-value for the association between CHRNA3 and chronic obstructive pulmonary disease is 5e-28.,8144
pancreatic carcinoma,CCDC68,5e-09,What is the GWAS p-value for the association between pancreatic carcinoma and CCDC68?,What is the GWAS p-value for the association between pancreatic carcinoma and ccdc68?,The GWAS p-value for the association between pancreatic carcinoma and CCDC68 is 5e-09. The provenance of this association is GWAS.,596,The GWAS p-value for the association between pancreatic carcinoma and CCDC68 is 5e-09. The provenance of this association is GWAS.,596
primary biliary cholangitis,HLA-DPB1,2e-22,Is HLA-DPB1 associated with primary biliary cholangitis?,Is hla-dpb1 associated with primary biliary cholangitis?,"Yes, the gene HLA-DPB1 is associated with the disease primary biliary cholangitis. The provenance of this association is GWAS.",2084,"Yes, the gene HLA-DPB1 is associated with the disease primary biliary cholangitis. The provenance of this association is GWAS.",2084
atopic dermatitis,GABPB2,2.0000000000000001e-88,Is atopic dermatitis associated with GABPB2?,Is atopic dermatitis associated with gabpb2?,"Yes, atopic dermatitis is associated with the gene GABPB2. The provenance of this association is GWAS, with a p-value of 2e-88, indicating a very strong statistical significance. (Provenance: GWAS)",2829,"Yes, atopic dermatitis is associated with the gene GABPB2. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 2e-88, indicating a statistically significant association.",2827
systemic lupus erythematosus,HIP1,5.999999999999999e-62,What is the GWAS p-value for the association between HIP1 and systemic lupus erythematosus?,What is the GWAS p-value for the association between hip1 and systemic lupus erythematosus?,The GWAS p-value for the association between HIP1 and systemic lupus erythematosus is 6e-62. (Provenance: GWAS),6340,The GWAS p-value for the association between HIP1 and systemic lupus erythematosus is 6e-62. (Provenance: GWAS),6340
hypothyroidism,TIMMDC1,3e-09,Is hypothyroidism associated with TIMMDC1?,Is hypothyroidism associated with timmdc1?,"Yes, hypothyroidism is associated with the gene TIMMDC1. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 3e-09, indicating a statistically significant association. (Provenance: GWAS)",8328,"Yes, hypothyroidism is associated with the gene TIMMDC1. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 3e-09, indicating a statistically significant association. (Provenance: GWAS)",8328
degenerative myopia,MIPEP,2e-16,What is the GWAS p-value for the association between degenerative myopia and MIPEP?,What is the GWAS p-value for the association between degenerative myopia and mipep?,The GWAS p-value for the association between degenerative myopia and MIPEP is 2e-16. (Provenance: GWAS),1065,The GWAS p-value for the association between degenerative myopia and MIPEP is 2e-16. (Provenance: GWAS),1065
alcoholic pancreatitis,CASP9,6e-09,Is alcoholic pancreatitis associated with CASP9?,Is alcoholic pancreatitis associated with casp9?,"Yes, alcoholic pancreatitis is associated with the gene CASP9. The provenance of this association is GWAS.",636,"Yes, alcoholic pancreatitis is associated with the gene CASP9. The provenance of this association is GWAS.",636
lung squamous cell carcinoma,PDS5B,9e-12,Is lung squamous cell carcinoma associated with PDS5B?,Is lung squamous cell carcinoma associated with pds5b?,"Yes, lung squamous cell carcinoma is associated with the gene PDS5B. The provenance of this association is GWAS with a p-value of 9e-12.",632,"Yes, lung squamous cell carcinoma is associated with the gene PDS5B. The provenance of this association is GWAS with a p-value of 9e-12.",632
common variable immunodeficiency,CLEC16A,2e-09,What is the GWAS p-value for the association between CLEC16A and common variable immunodeficiency?,What is the GWAS p-value for the association between clec16a and common variable immunodeficiency?,The GWAS p-value for the association between CLEC16A and common variable immunodeficiency is 2e-09. The provenance of this information is GWAS.,1773,The GWAS p-value for the association between CLEC16A and common variable immunodeficiency is 2e-09 (Provenance: GWAS).,1770
lung non-small cell carcinoma,TERT,9.999999999999999e-43,Is TERT associated with lung non-small cell carcinoma?,Is tert associated with lung non-small cell carcinoma?,"Yes, the gene TERT is associated with lung non-small cell carcinoma. This association is proven by GWAS with a p-value of 1e-42 (Provenance: GWAS).",13413,"Yes, the gene TERT is associated with lung non-small cell carcinoma. This association is proven by GWAS with a p-value of 1e-42 (Provenance: GWAS).",13413
cardiovascular system disease,PSMD3,1e-20,Is PSMD3 associated with cardiovascular system disease?,Is psmd3 associated with cardiovascular system disease?,"Yes, the gene PSMD3 is associated with cardiovascular system disease. The provenance of this association is GWAS (Genome-Wide Association Studies).",7603,"Yes, the gene PSMD3 is associated with cardiovascular system disease. The provenance of this association is GWAS (Genome-Wide Association Studies).",7603
gestational diabetes,CCND2,3e-12,What is the GWAS p-value for the association between gestational diabetes and CCND2?,What is the GWAS p-value for the association between gestational diabetes and ccnd2?,The GWAS p-value for the association between gestational diabetes and CCND2 is 3e-12. (Provenance: GWAS),1285,The GWAS p-value for the association between gestational diabetes and CCND2 is 3e-12. (Provenance: GWAS),1285
major depressive disorder,TMEM106B,8.000000000000001e-24,Is TMEM106B associated with major depressive disorder?,Is tmem106b associated with major depressive disorder?,"Yes, the gene TMEM106B is associated with major depressive disorder. The provenance of this association is GWAS with a p-value of 8e-24.",3027,"Yes, the gene TMEM106B is associated with major depressive disorder. The provenance of this association is GWAS with a p-value of 8e-24.",3027
keratoconus,COL6A1,9e-12,What is the GWAS p-value for the association between COL6A1 and keratoconus?,What is the GWAS p-value for the association between col6a1 and keratoconus?,The GWAS p-value for the association between COL6A1 and keratoconus is 9e-12 (Provenance: GWAS).,3166,The GWAS p-value for the association between COL6A1 and keratoconus is 9e-12 (Provenance: GWAS).,3166
chronic lymphocytic leukemia,RREB1,1e-08,Is chronic lymphocytic leukemia associated with RREB1?,Is chronic lymphocytic leukemia associated with rreb1?,"Yes, chronic lymphocytic leukemia is associated with the gene RREB1. The provenance of this association is GWAS. {'sources': ['GWAS'], 'gwas_pvalue': 1e-08}.",1239,"Yes, chronic lymphocytic leukemia is associated with the gene RREB1. The provenance of this association is GWAS. {'sources': ['GWAS'], 'gwas_pvalue': 1e-08}.",1239
prostate carcinoma,PARPBP,3e-13,Is PARPBP associated with prostate carcinoma?,Is parpbp associated with prostate carcinoma?,"Yes, the gene PARPBP is associated with the disease prostate carcinoma. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 3e-13, indicating a statistically significant association.",4183,"Yes, the gene PARPBP is associated with the disease prostate carcinoma. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 3e-13, indicating a statistically significant association.",4183
testicular germ cell cancer,ZFP64,3e-12,What is the GWAS p-value for the association between testicular germ cell cancer and ZFP64?,What is the GWAS p-value for the association between testicular germ cell cancer and zfp64?,The GWAS p-value for the association between testicular germ cell cancer and ZFP64 is 3e-12. The provenance of this association is GWAS.,845,The GWAS p-value for the association between testicular germ cell cancer and ZFP64 is 3e-12. The Provenance of this association is GWAS.,846
psoriasis,KLF13,9e-10,What is the GWAS p-value for the association between KLF13 and psoriasis?,What is the GWAS p-value for the association between klf13 and psoriasis?,The GWAS p-value for the association between KLF13 and psoriasis is 9e-10 (Provenance: GWAS).,2985,The GWAS p-value for the association between KLF13 and psoriasis is 9e-10 (Provenance: GWAS).,2985
coronary artery disease,ADGRL3,3e-23,Is coronary artery disease associated with ADGRL3?,Is coronary artery disease associated with adgrl3?,"Yes, coronary artery disease is associated with the gene ADGRL3. This association is proven by GWAS with a p-value of 3e-23. (Provenance: GWAS)",11646,"Yes, coronary artery disease is associated with the gene ADGRL3. This association is proven by GWAS (Genome-Wide Association Studies) with a p-value of 3e-23, indicating a statistically significant association. (Provenance: GWAS)",11660
abdominal obesity-metabolic syndrome 1,JMJD1C,2e-14,What is the GWAS p-value for the association between abdominal obesity-metabolic syndrome 1 and JMJD1C?,What is the GWAS p-value for the association between abdominal obesity-metabolic syndrome 1 and jmjd1c?,The GWAS p-value for the association between abdominal obesity-metabolic syndrome 1 and JMJD1C is 2e-14 (Provenance: GWAS).,2057,The GWAS p-value for the association between abdominal obesity-metabolic syndrome 1 and JMJD1C is 2e-14 (Provenance: GWAS).,2057
type 1 diabetes mellitus,CUX2,1e-16,Is CUX2 associated with type 1 diabetes mellitus?,Is cux2 associated with type 1 diabetes mellitus?,"Yes, the gene CUX2 is associated with type 1 diabetes mellitus. The provenance of this association is GWAS (Genome-Wide Association Studies).",4187,"Yes, the gene CUX2 is associated with type 1 diabetes mellitus. The provenance of this association is GWAS (Genome-Wide Association Studies).",4187
type 2 diabetes mellitus,KCNK16,4e-17,What is the GWAS p-value for the association between KCNK16 and type 2 diabetes mellitus?,What is the GWAS p-value for the association between kcnk16 and type 2 diabetes mellitus?,The GWAS p-value for the association between KCNK16 and type 2 diabetes mellitus is 4e-17.,8511,The GWAS p-value for the association between KCNK16 and type 2 diabetes mellitus is 4e-17.,8511
type 1 diabetes mellitus,DGKQ,6e-09,Is type 1 diabetes mellitus associated with DGKQ?,Is type 1 diabetes mellitus associated with dgkq?,"Yes, type 1 diabetes mellitus is associated with the gene DGKQ. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 6e-09, indicating a statistically significant association.",3887,"Yes, type 1 diabetes mellitus is associated with the gene DGKQ. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 6e-09, indicating a statistically significant association.",3887
refractive error,SIX6,2e-16,What is the GWAS p-value for the association between SIX6 and refractive error?,What is the GWAS p-value for the association between six6 and refractive error?,The GWAS p-value for the association between SIX6 and refractive error is 2e-16. (Provenance: GWAS),2817,The GWAS p-value for the association between SIX6 and refractive error is 2e-16. (Provenance: GWAS),2817
Parkinson's disease,MAP4K4,8e-13,What is the GWAS p-value for the association between MAP4K4 and Parkinson's disease?,What is the GWAS p-value for the association between map4k4 and parkinson's disease?,The GWAS p-value for the association between MAP4K4 and Parkinson's disease is 8e-13. (Provenance: GWAS),3674,The GWAS p-value for the association between MAP4K4 and Parkinson's disease is 8e-13.,3666
autism spectrum disorder,DCC,3e-08,Is autism spectrum disorder associated with DCC?,Is autism spectrum disorder associated with dcc?,"Yes, autism spectrum disorder is associated with the gene DCC. The provenance of this association is GWAS.",1375,"Yes, the autism spectrum disorder is associated with the gene DCC. The provenance of this association is GWAS.",1376
multiple sclerosis,NR1D1,9e-14,Is multiple sclerosis associated with NR1D1?,Is multiple sclerosis associated with nr1d1?,"Yes, multiple sclerosis is associated with the gene NR1D1. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 9e-14, indicating a statistically significant association.",3453,"Yes, multiple sclerosis is associated with the gene NR1D1. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 9e-14, indicating a statistically significant association.",3453
coronary artery disease,SMAD3,1e-19,Is coronary artery disease associated with SMAD3?,Is coronary artery disease associated with smad3?,"Yes, coronary artery disease is associated with the gene SMAD3. The provenance of this association is from DISEASES and GWAS databases. The GWAS p-value for this association is 1e-26, indicating a statistically significant association. (Provenance: DISEASES, GWAS)",8274,"Yes, coronary artery disease is associated with the gene SMAD3. The provenance of this association is from DISEASES and GWAS databases. The GWAS p-value for this association is 1e-26, indicating a statistically significant association. (Provenance: DISEASES, GWAS)",8274
prostate carcinoma,ANO7,8e-43,What is the GWAS p-value for the association between ANO7 and prostate carcinoma?,What is the GWAS p-value for the association between ano7 and prostate carcinoma?,The GWAS p-value for the association between ANO7 and prostate carcinoma is 8e-43. (Provenance: GWAS),4153,The GWAS p-value for the association between ANO7 and prostate carcinoma is 8e-43.,4145
ovarian carcinoma,FGFR2,4.0000000000000004e-254,What is the GWAS p-value for the association between FGFR2 and ovarian carcinoma?,What is the GWAS p-value for the association between fgfr2 and ovarian carcinoma?,The GWAS p-value for the association between FGFR2 and ovarian carcinoma is 4e-254. (Provenance: GWAS),695,The GWAS p-value for the association between FGFR2 and ovarian carcinoma is 4e-254. (Provenance: GWAS),695
lymphoid leukemia,BMF,1e-10,What is the GWAS p-value for the association between BMF and lymphoid leukemia?,What is the GWAS p-value for the association between bmf and lymphoid leukemia?,The GWAS p-value for the association between BMF and lymphoid leukemia is 1e-10. The provenance of this association is GWAS.,501,The GWAS p-value for the association between BMF and lymphoid leukemia is 1e-10. The provenance of this association is GWAS.,501
skin melanoma,CYP1B1,3e-16,Is skin melanoma associated with CYP1B1?,Is skin melanoma associated with cyp1b1?,"Yes, skin melanoma is associated with the gene CYP1B1. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 3e-16, indicating a statistically significant association.",828,"Yes, skin melanoma is associated with the gene CYP1B1. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 3e-16, indicating a statistically significant association.",828
myositis,ATP6V1G2,6e-49,What is the GWAS p-value for the association between myositis and ATP6V1G2?,What is the GWAS p-value for the association between myositis and atp6v1g2?,The GWAS p-value for the association between myositis and ATP6V1G2 is 6e-49. (Provenance: GWAS),2324,The GWAS p-value for the association between myositis and ATP6V1G2 is 6e-49. (Provenance: GWAS),2324
