disease_name,gene_name,gwas_pvalue,question,question_perturbed,neo4j_rag_answer,total_tokens_used,neo4j_rag_answer_perturbed,total_tokens_used_perturbed
hemorrhoid,GMDS,2e-31,Is GMDS associated with hemorrhoid?,Is gmds associated with hemorrhoid?,"No, GMDS is not associated with hemorrhoids.",7985,"I'm sorry, but I don't have the information to answer that question.",7985
rheumatoid arthritis,DPP4,2e-21,What is the GWAS p-value for the association between rheumatoid arthritis and DPP4?,What is the GWAS p-value for the association between rheumatoid arthritis and dpp4?,The GWAS p-value for the association between rheumatoid arthritis and DPP4 is 2e-21.,8025,"I'm sorry, but I don't have the information to answer that question.",8004
colon carcinoma,SMAD7,3e-08,What is the GWAS p-value for the association between SMAD7 and colon carcinoma?,What is the GWAS p-value for the association between smad7 and colon carcinoma?,The GWAS p-value for the association between SMAD7 and colon carcinoma is 3e-08.,8016,,7859
pulmonary hypertension,PKIA,2e-09,What is the GWAS p-value for the association between PKIA and pulmonary hypertension?,What is the GWAS p-value for the association between pkia and pulmonary hypertension?,"I'm sorry, but I don't have the information to answer that question.",7996,"I'm sorry, but I don't know the answer.",7992
autoimmune thyroiditis,TNFRSF14,2e-11,What is the GWAS p-value for the association between autoimmune thyroiditis and TNFRSF14?,What is the GWAS p-value for the association between autoimmune thyroiditis and tnfrsf14?,The GWAS p-value for the association between autoimmune thyroiditis and TNFRSF14 is 2e-11.,8025,"I'm sorry, but I don't have the information to answer that question.",8004
psoriatic arthritis,CNTNAP2,5e-28,Is psoriatic arthritis associated with CNTNAP2?,Is psoriatic arthritis associated with cntnap2?,"Yes, psoriatic arthritis is associated with CNTNAP2.",8002,"I'm sorry, but I don't have the information to answer that question.",7989
primary biliary cholangitis,CCDC88B,1e-10,Is primary biliary cholangitis associated with CCDC88B?,Is primary biliary cholangitis associated with ccdc88b?,"Yes, primary biliary cholangitis is associated with CCDC88B.",8006,"I'm sorry, but I don't have the information to answer that question.",7999
otosclerosis,MARK3,3e-18,Is MARK3 associated with otosclerosis?,Is mark3 associated with otosclerosis?,"I'm sorry, but I don't have the information to answer that question.",7975,"I'm sorry, but I don't have the information to answer that question.",7975
large intestine cancer,RHPN2,4e-41,What is the GWAS p-value for the association between RHPN2 and large intestine cancer?,What is the GWAS p-value for the association between rhpn2 and large intestine cancer?,The GWAS p-value for the association between RHPN2 and large intestine cancer is 4e-41.,8024,,7861
anxiety disorder,NTRK2,7e-09,Is anxiety disorder associated with NTRK2?,Is anxiety disorder associated with ntrk2?,"Yes, anxiety disorder is associated with NTRK2.",7992,"I'm sorry, but I don't have the information to answer that question.",7989
atopic dermatitis,RERE,6e-16,Is atopic dermatitis associated with RERE?,Is atopic dermatitis associated with rere?,"Yes, atopic dermatitis is associated with RERE.",7991,"I'm sorry, but I don't have the information to answer that question.",7988
asthma,PRR5L,6e-12,Is PRR5L associated with asthma?,Is prr5l associated with asthma?,"I'm sorry, but I don't have the information to answer that question.",7977,"I'm sorry, but I don't have the information to answer that question.",7977
gastric fundus cancer,GON4L,1e-15,What is the GWAS p-value for the association between gastric fundus cancer and GON4L?,What is the GWAS p-value for the association between gastric fundus cancer and gon4l?,The GWAS p-value for the association between gastric fundus cancer and GON4L is 1e-15.,8030,"I'm sorry, but I don't have the information to answer that question.",8005
type 2 diabetes mellitus,DNAH1,7e-21,Is type 2 diabetes mellitus associated with DNAH1?,Is type 2 diabetes mellitus associated with dnah1?,"Yes, type 2 diabetes mellitus is associated with DNAH1.",8001,"I'm sorry, but I don't have the information to answer that question.",7995
schizophrenia,SLC17A3,3e-20,What is the GWAS p-value for the association between schizophrenia and SLC17A3?,What is the GWAS p-value for the association between schizophrenia and slc17a3?,The GWAS p-value for the association between schizophrenia and SLC17A3 is 3e-20.,8022,"I'm sorry, but I don't know the answer.",7998
inflammatory bowel disease,FADS2,2e-15,What is the GWAS p-value for the association between inflammatory bowel disease and FADS2?,What is the GWAS p-value for the association between inflammatory bowel disease and fads2?,The GWAS p-value for the association between inflammatory bowel disease and FADS2 is 2e-15.,8021,"I'm sorry, but I don't have the information to answer that question.",8001
opiate dependence,ADGRV1,2e-09,Is opiate dependence associated with ADGRV1?,Is opiate dependence associated with adgrv1?,"Yes, opiate dependence is associated with ADGRV1.",7994,"I'm sorry, but I don't have the information to answer that question.",7992
attention deficit hyperactivity disorder,ST3GAL3,8e-14,What is the GWAS p-value for the association between attention deficit hyperactivity disorder and ST3GAL3?,What is the GWAS p-value for the association between attention deficit hyperactivity disorder and st3gal3?,The GWAS p-value for the association between attention deficit hyperactivity disorder and ST3GAL3 is 8e-14.,8036,"I'm sorry, but I don't have the information to answer that question.",8009
cataract,C3orf49,2e-11,Is C3orf49 associated with cataract?,Is c3orf49 associated with cataract?,"Yes, the gene C3orf49, also known as chromosome 3 open reading frame 49, is associated with the disease cataract.",8155,"I'm sorry, but I don't have the information to answer that question.",7982
duodenal ulcer,PLD1,5e-08,What is the GWAS p-value for the association between PLD1 and duodenal ulcer?,What is the GWAS p-value for the association between pld1 and duodenal ulcer?,The GWAS p-value for the association between PLD1 and duodenal ulcer is 5e-08.,8024,"I'm sorry, but I don't have the information to answer that question.",8003
chronic obstructive pulmonary disease,CHRNA3,5e-28,What is the GWAS p-value for the association between CHRNA3 and chronic obstructive pulmonary disease?,What is the GWAS p-value for the association between chrna3 and chronic obstructive pulmonary disease?,The GWAS p-value for the association between CHRNA3 and chronic obstructive pulmonary disease is 5e-28.,8033,"I'm sorry, but I don't know the answer.",8003
pancreatic carcinoma,CCDC68,5e-09,What is the GWAS p-value for the association between pancreatic carcinoma and CCDC68?,What is the GWAS p-value for the association between pancreatic carcinoma and ccdc68?,,7855,,7855
primary biliary cholangitis,HLA-DPB1,2e-22,Is HLA-DPB1 associated with primary biliary cholangitis?,Is hla-dpb1 associated with primary biliary cholangitis?,"I'm sorry, but I don't have the information to answer that question.",7994,"I'm sorry, but I don't have the information to answer that question.",8002
atopic dermatitis,GABPB2,2.0000000000000001e-88,Is atopic dermatitis associated with GABPB2?,Is atopic dermatitis associated with gabpb2?,"Yes, atopic dermatitis is associated with GABPB2.",7999,"I'm sorry, but I don't have the information to answer that question.",7991
systemic lupus erythematosus,HIP1,5.999999999999999e-62,What is the GWAS p-value for the association between HIP1 and systemic lupus erythematosus?,What is the GWAS p-value for the association between hip1 and systemic lupus erythematosus?,The GWAS p-value for the association between HIP1 and systemic lupus erythematosus is 6e-62.,8033,"I'm sorry, but I don't have the information to answer that question.",8010
hypothyroidism,TIMMDC1,3e-09,Is hypothyroidism associated with TIMMDC1?,Is hypothyroidism associated with timmdc1?,"Yes, hypothyroidism is associated with TIMMDC1.",7999,"I'm sorry, but I don't have the information to answer that question.",7994
degenerative myopia,MIPEP,2e-16,What is the GWAS p-value for the association between degenerative myopia and MIPEP?,What is the GWAS p-value for the association between degenerative myopia and mipep?,,7857,"I'm sorry, but I don't have the information to answer that question.",8004
alcoholic pancreatitis,CASP9,6e-09,Is alcoholic pancreatitis associated with CASP9?,Is alcoholic pancreatitis associated with casp9?,"Yes, alcoholic pancreatitis is associated with CASP9.",7989,"I'm sorry, but I don't have the information to answer that question.",7988
lung squamous cell carcinoma,PDS5B,9e-12,Is lung squamous cell carcinoma associated with PDS5B?,Is lung squamous cell carcinoma associated with pds5b?,"Yes, lung squamous cell carcinoma is associated with PDS5B.",8002,"I'm sorry, but I don't have the information to answer that question.",7996
common variable immunodeficiency,CLEC16A,2e-09,What is the GWAS p-value for the association between CLEC16A and common variable immunodeficiency?,What is the GWAS p-value for the association between clec16a and common variable immunodeficiency?,The GWAS p-value for the association between CLEC16A and common variable immunodeficiency is 2e-09.,8032,"I'm sorry, but I don't know the answer.",8005
lung non-small cell carcinoma,TERT,9.999999999999999e-43,Is TERT associated with lung non-small cell carcinoma?,Is tert associated with lung non-small cell carcinoma?,"No, TERT is not associated with lung non-small cell carcinoma.",7994,"I'm sorry, but I don't have the information to answer that question.",7989
cardiovascular system disease,PSMD3,1e-20,Is PSMD3 associated with cardiovascular system disease?,Is psmd3 associated with cardiovascular system disease?,"I'm sorry, but I don't have the information to answer that question.",7981,"I'm sorry, but I don't have the information to answer that question.",7981
gestational diabetes,CCND2,3e-12,What is the GWAS p-value for the association between gestational diabetes and CCND2?,What is the GWAS p-value for the association between gestational diabetes and ccnd2?,The GWAS p-value for the association between gestational diabetes and CCND2 is 3e-12.,8020,"I'm sorry, but I don't know the answer.",7996
major depressive disorder,TMEM106B,8.000000000000001e-24,Is TMEM106B associated with major depressive disorder?,Is tmem106b associated with major depressive disorder?,"I'm sorry, but I don't have the information to answer that question.",7982,"I'm sorry, but I don't have the information to answer that question.",7982
keratoconus,COL6A1,9e-12,What is the GWAS p-value for the association between COL6A1 and keratoconus?,What is the GWAS p-value for the association between col6a1 and keratoconus?,The GWAS p-value for the association between COL6A1 and keratoconus is 9e-12.,8028,"I'm sorry, but I don't have the information to answer that question.",8006
chronic lymphocytic leukemia,RREB1,1e-08,Is chronic lymphocytic leukemia associated with RREB1?,Is chronic lymphocytic leukemia associated with rreb1?,"Yes, there is an association between chronic lymphocytic leukemia and RREB1.",8004,"I'm sorry, but I don't have the information to answer that question.",7994
prostate carcinoma,PARPBP,3e-13,Is PARPBP associated with prostate carcinoma?,Is parpbp associated with prostate carcinoma?,"I'm sorry, but I don't have the information to answer that question.",7977,"I'm sorry, but I don't have the information to answer that question.",7986
testicular germ cell cancer,ZFP64,3e-12,What is the GWAS p-value for the association between testicular germ cell cancer and ZFP64?,What is the GWAS p-value for the association between testicular germ cell cancer and zfp64?,The GWAS p-value for the association between testicular germ cell cancer and ZFP64 is 3e-12.,8028,"I'm sorry, but I don't know the answer.",8002
psoriasis,KLF13,9e-10,What is the GWAS p-value for the association between KLF13 and psoriasis?,What is the GWAS p-value for the association between klf13 and psoriasis?,"I'm sorry, but I don't have the information to answer that question.",7997,"I'm sorry, but I don't have the information to answer that question.",7997
coronary artery disease,ADGRL3,3e-23,Is coronary artery disease associated with ADGRL3?,Is coronary artery disease associated with adgrl3?,"Yes, coronary artery disease is associated with ADGRL3.",7996,"I'm sorry, but I don't have the information to answer that question.",7993
abdominal obesity-metabolic syndrome 1,JMJD1C,2e-14,What is the GWAS p-value for the association between abdominal obesity-metabolic syndrome 1 and JMJD1C?,What is the GWAS p-value for the association between abdominal obesity-metabolic syndrome 1 and jmjd1c?,The GWAS p-value for the association between abdominal obesity-metabolic syndrome 1 and JMJD1C is 2e-14.,8046,"I'm sorry, but I don't know the answer.",8016
type 1 diabetes mellitus,CUX2,1e-16,Is CUX2 associated with type 1 diabetes mellitus?,Is cux2 associated with type 1 diabetes mellitus?,"Yes, the gene CUX2 (cut like homeobox 2) located on chromosome 12 is associated with type 1 diabetes mellitus.",8162,"I'm sorry, but I don't have the information to answer that question.",7988
type 2 diabetes mellitus,KCNK16,4e-17,What is the GWAS p-value for the association between KCNK16 and type 2 diabetes mellitus?,What is the GWAS p-value for the association between kcnk16 and type 2 diabetes mellitus?,The GWAS p-value for the association between KCNK16 and type 2 diabetes mellitus is 4e-17.,8033,"I'm sorry, but I don't have the information to answer that question.",8012
type 1 diabetes mellitus,DGKQ,6e-09,Is type 1 diabetes mellitus associated with DGKQ?,Is type 1 diabetes mellitus associated with dgkq?,"Yes, type 1 diabetes mellitus is associated with DGKQ, which is a diacylglycerol kinase theta.",8330,"I'm sorry, but I don't have the information to answer that question.",7995
refractive error,SIX6,2e-16,What is the GWAS p-value for the association between SIX6 and refractive error?,What is the GWAS p-value for the association between six6 and refractive error?,"I'm sorry, but I don't have the information to answer that question.",7999,"I'm sorry, but I don't have the information to answer that question.",7998
Parkinson's disease,MAP4K4,8e-13,What is the GWAS p-value for the association between MAP4K4 and Parkinson's disease?,What is the GWAS p-value for the association between map4k4 and parkinson's disease?,The GWAS p-value for the association between MAP4K4 and Parkinson's disease is 8e-13.,8025,"I'm sorry, but I don't know the answer.",8003
autism spectrum disorder,DCC,3e-08,Is autism spectrum disorder associated with DCC?,Is autism spectrum disorder associated with dcc?,"Yes, autism spectrum disorder is associated with DCC.",7987,"I'm sorry, but I don't have the information to answer that question.",7982
multiple sclerosis,NR1D1,9e-14,Is multiple sclerosis associated with NR1D1?,Is multiple sclerosis associated with nr1d1?,"Yes, multiple sclerosis is associated with NR1D1.",7991,"I'm sorry, but I don't have the information to answer that question.",7988
coronary artery disease,SMAD3,1e-19,Is coronary artery disease associated with SMAD3?,Is coronary artery disease associated with smad3?,"Yes, coronary artery disease is associated with SMAD3.",7993,"I'm sorry, but I don't have the information to answer that question.",7990
prostate carcinoma,ANO7,8e-43,What is the GWAS p-value for the association between ANO7 and prostate carcinoma?,What is the GWAS p-value for the association between ano7 and prostate carcinoma?,"I'm sorry, but I don't have the information to answer that question.",7997,"I'm sorry, but I don't have the information to answer that question.",7997
ovarian carcinoma,FGFR2,4.0000000000000004e-254,What is the GWAS p-value for the association between FGFR2 and ovarian carcinoma?,What is the GWAS p-value for the association between fgfr2 and ovarian carcinoma?,The GWAS p-value for the association between FGFR2 and ovarian carcinoma is 4e-254.,8017,"I'm sorry, but I don't have the information to answer that question.",7998
lymphoid leukemia,BMF,1e-10,What is the GWAS p-value for the association between BMF and lymphoid leukemia?,What is the GWAS p-value for the association between bmf and lymphoid leukemia?,"I'm sorry, but the GWAS p-value for the association between BMF and lymphoid leukemia is not available.",8011,"I'm sorry, but I don't have the information to answer that question.",7994
skin melanoma,CYP1B1,3e-16,Is skin melanoma associated with CYP1B1?,Is skin melanoma associated with cyp1b1?,"I'm sorry, but I don't have the information to answer that question.",7989,"I'm sorry, but I don't have the information to answer that question.",7989
myositis,ATP6V1G2,6e-49,What is the GWAS p-value for the association between myositis and ATP6V1G2?,What is the GWAS p-value for the association between myositis and atp6v1g2?,The GWAS p-value for the association between myositis and ATP6V1G2 is 6e-49.,8033,"I'm sorry, but I don't have the information to answer that question.",8012
melanoma,SPG7,9e-26,What is the GWAS p-value for the association between SPG7 and melanoma?,What is the GWAS p-value for the association between spg7 and melanoma?,The GWAS p-value for the association between SPG7 and melanoma is 9e-26.,8017,"I'm sorry, but I don't have the information to answer that question.",7998
type 2 diabetes mellitus,EYA2,6e-19,Is EYA2 associated with type 2 diabetes mellitus?,Is eya2 associated with type 2 diabetes mellitus?,"I'm sorry, but I don't have the information to answer that question.",7988,"I'm sorry, but I don't have the information to answer that question.",7994
carpal tunnel syndrome,SERPINA1,3e-24,What is the GWAS p-value for the association between SERPINA1 and carpal tunnel syndrome?,What is the GWAS p-value for the association between serpina1 and carpal tunnel syndrome?,The GWAS p-value for the association between SERPINA1 and carpal tunnel syndrome is 3e-24.,8028,"I'm sorry, but I don't have the information to answer that question.",8006
substance-related disorder,FUT2,3e-19,What is the GWAS p-value for the association between substance-related disorder and FUT2?,What is the GWAS p-value for the association between substance-related disorder and fut2?,The GWAS p-value for the association between substance-related disorder and FUT2 is 3e-19.,8021,"I'm sorry, but I don't have the information to answer that question.",7999
open-angle glaucoma,PLEKHA7,9e-15,Is open-angle glaucoma associated with PLEKHA7?,Is open-angle glaucoma associated with plekha7?,"Yes, open-angle glaucoma is associated with PLEKHA7.",8004,"I'm sorry, but I don't have the information to answer that question.",7996
myocardial infarction,ZNF831,1e-08,What is the GWAS p-value for the association between myocardial infarction and ZNF831?,What is the GWAS p-value for the association between myocardial infarction and znf831?,The GWAS p-value for the association between myocardial infarction and ZNF831 is 1e-08.,8029,"I'm sorry, but I don't have the information to answer that question.",8007
squamous cell carcinoma,IRF4,1e-169,Is IRF4 associated with squamous cell carcinoma?,Is irf4 associated with squamous cell carcinoma?,"I'm sorry, but I don't have the information to answer that question.",7982,"I'm sorry, but I don't have the information to answer that question.",7982
Parkinson's disease,WDHD1,4e-16,What is the GWAS p-value for the association between WDHD1 and Parkinson's disease?,What is the GWAS p-value for the association between wdhd1 and parkinson's disease?,The GWAS p-value for the association between WDHD1 and Parkinson's disease is 4e-16.,8021,"I'm sorry, but I don't have the information to answer that question.",8004
cataract,TOP1,1e-11,Is cataract associated with TOP1?,Is cataract associated with top1?,"Yes, cataract is associated with TOP1.",7986,"I'm sorry, but I don't have the information to answer that question.",7984
atrial fibrillation,AGBL4,3e-09,What is the GWAS p-value for the association between atrial fibrillation and AGBL4?,What is the GWAS p-value for the association between atrial fibrillation and agbl4?,The GWAS p-value for the association between atrial fibrillation and AGBL4 is 3e-09.,8027,"I'm sorry, but I don't have the information to answer that question.",8003
otosclerosis,SEMA4D,4e-09,What is the GWAS p-value for the association between otosclerosis and SEMA4D?,What is the GWAS p-value for the association between otosclerosis and sema4d?,The GWAS p-value for the association between otosclerosis and SEMA4D is 4e-09.,8023,"I'm sorry, but I don't know the answer.",7998
hypothyroidism,RAD51B,2e-11,What is the GWAS p-value for the association between hypothyroidism and RAD51B?,What is the GWAS p-value for the association between hypothyroidism and rad51b?,The GWAS p-value for the association between hypothyroidism and RAD51B is 2e-11.,8024,"I'm sorry, but I don't know the answer.",7999
childhood-onset asthma,SPSB1,4e-18,What is the GWAS p-value for the association between SPSB1 and childhood-onset asthma?,What is the GWAS p-value for the association between spsb1 and childhood-onset asthma?,"I'm sorry, but I don't know the answer.",8002,"I'm sorry, but I don't have the information to answer that question.",8005
major depressive disorder,ATG7,5e-08,Is major depressive disorder associated with ATG7?,Is major depressive disorder associated with atg7?,"Yes, major depressive disorder is associated with ATG7.",7991,"I'm sorry, but I don't have the information to answer that question.",7988
alopecia,WNT10A,2e-16,Is WNT10A associated with alopecia?,Is wnt10a associated with alopecia?,"Yes, the gene WNT10A is associated with the condition alopecia.",8135,"I'm sorry, but I don't have the information to answer that question.",7979
inflammatory bowel disease,IL27,1e-21,Is inflammatory bowel disease associated with IL27?,Is inflammatory bowel disease associated with il27?,"Yes, inflammatory bowel disease is associated with IL27.",7987,"I'm sorry, but I don't have the information to answer that question.",7985
tonsillitis,TNFRSF13B,7.999999999999999e-26,What is the GWAS p-value for the association between tonsillitis and TNFRSF13B?,What is the GWAS p-value for the association between tonsillitis and tnfrsf13b?,The GWAS p-value for the association between tonsillitis and TNFRSF13B is 8e-26.,8028,"I'm sorry, but I don't know the answer.",8002
cleft lip,SFI1,3e-08,What is the GWAS p-value for the association between cleft lip and SFI1?,What is the GWAS p-value for the association between cleft lip and sfi1?,The GWAS p-value for the association between cleft lip and SFI1 is 3e-08.,8020,"I'm sorry, but I don't have the information to answer that question.",8000
multiple sclerosis,INAVA,6e-21,What is the GWAS p-value for the association between multiple sclerosis and INAVA?,What is the GWAS p-value for the association between multiple sclerosis and inava?,The GWAS p-value for the association between multiple sclerosis and INAVA is 6e-21.,8012,"I'm sorry, but I don't know the answer.",7990
esophageal carcinoma,CASP8,1e-08,Is esophageal carcinoma associated with CASP8?,Is esophageal carcinoma associated with casp8?,"Yes, esophageal carcinoma is associated with CASP8.",7994,"I'm sorry, but I don't have the information to answer that question.",7990
skin melanoma,GPRC5A,8e-15,Is skin melanoma associated with GPRC5A?,Is skin melanoma associated with gprc5a?,"I'm sorry, but I don't have the information to answer that question.",7989,"I'm sorry, but I don't have the information to answer that question.",7989
lung squamous cell carcinoma,BRCA2,1e-15,Is lung squamous cell carcinoma associated with BRCA2?,Is lung squamous cell carcinoma associated with brca2?,"Yes, lung squamous cell carcinoma is associated with BRCA2.",7998,"I'm sorry, but I don't have the information to answer that question.",7994
systemic lupus erythematosus,HLA-DRA,2.0000000000000002e-60,What is the GWAS p-value for the association between HLA-DRA and systemic lupus erythematosus?,What is the GWAS p-value for the association between hla-dra and systemic lupus erythematosus?,The GWAS p-value for the association between HLA-DRA and systemic lupus erythematosus is 2e-60.,8041,"I'm sorry, but I don't have the specific information to answer that question.",8017
type 2 diabetes mellitus,UBE2E2,1.9999999999999998e-42,Is type 2 diabetes mellitus associated with UBE2E2?,Is type 2 diabetes mellitus associated with ube2e2?,"Yes, type 2 diabetes mellitus is associated with UBE2E2.",8010,"I'm sorry, but I don't have the information to answer that question.",8001
allergic rhinitis,HLA-DQA1,1e-43,What is the GWAS p-value for the association between HLA-DQA1 and allergic rhinitis?,What is the GWAS p-value for the association between hla-dqa1 and allergic rhinitis?,The GWAS p-value for the association between HLA-DQA1 and allergic rhinitis is 1e-43.,8033,"I'm sorry, but I don't know the answer.",8006
systemic lupus erythematosus,HLA-DQA1,9.999999999999999e-55,What is the GWAS p-value for the association between systemic lupus erythematosus and HLA-DQA1?,What is the GWAS p-value for the association between systemic lupus erythematosus and hla-dqa1?,The GWAS p-value for the association between systemic lupus erythematosus and HLA-DQA1 is 1e-54.,8045,"I'm sorry, but I don't know the answer.",8015
