disease_1,disease_2,central_nodes_groundTruth,text,llm_answer,context_volume
immunodeficiency 53,adenine phosphoribosyltransferase deficiency,['Abnormality of the genitourinary system'],What are the Symptoms that are commonly associated with both immunodeficiency 53 and adenine phosphoribosyltransferase deficiency?,"{""Nodes"":[""Abnormality of the genitourinary system""]}",50
hypoplastic left heart syndrome,Takayasu's arteritis,"['aortic valve', 'brachiocephalic artery', 'ductus arteriosus', 'aorta', 'thoracic aorta', 'pulmonary artery']",What are the Anatomy that are commonly associated with both hypoplastic left heart syndrome and Takayasu's arteritis?,"{""Nodes"": [""aorta"", ""brachiocephalic artery"", ""thoracic aorta"", ""pulmonary artery"", ""aortic valve""]}",50
disease of anatomical entity,musculoskeletal system disease,"['STAT3', 'TLR7', 'IL17A', 'SVIL', 'LFNG', 'TRAPPC2', 'TBX6', 'HCN4', 'MESP2', 'SCN5A', 'RIPK1', 'EVC2', 'MTM1', 'BANK1', 'RIPPLY2', 'NOG', 'CYP2R1', 'CYP27B1', 'HES7', 'DLL3', 'EVC', 'MYH6', 'DNASE1', 'NLRP1', 'DNASE1L3', 'GIPC1', 'DMPK', 'HLA-DQA1', 'ZNF469', 'SF3B4', 'ARID5B', 'IFT140', 'ELMOD2', 'IL2RA', 'CD247', 'MCCC1', 'GDF6', 'DUX4', 'KIF5A', 'TINF2', 'TLR3', 'MICA', 'ABHD12', 'CHST3', 'DNAJB2', 'CSPP1', 'REL', 'BLK', 'KLRK1', 'FCGR2A', 'SIGMAR1', 'WDR35', 'ZFP36L1', 'CLEC16A', 'TNNT3', 'GATA3', 'ANKRD55', 'NOS3', 'COL9A3', 'PADI4', 'TYK2', 'OPA1', 'HSPB3', 'SMARCAL1', 'FLNB', 'IL23R', 'ARHGEF10', 'ACVR1', 'FBN2', 'POP1', 'ICOS', 'DCTN1', 'DOT1L', 'MCCC2', 'TNFRSF11B', 'GJA1', 'ATP2A1', 'ALDH1A2', 'NOTCH4', 'IKZF4', 'ABCC9', 'CNTNAP1', 'MIF', 'PRKCQ', 'ADAMTSL2', 'COL11A1', 'PTPN22', 'PXK', 'AFG3L2', 'SETX', 'COL11A2', 'AIRE', 'GDF5', 'ANKRD11', 'CNBP', 'SQSTM1', 'MYBPC1', 'GATA4', 'MTHFR', 'PRDX5', 'AFF3', 'DPP9', 'HINT1', 'DRP2', 'CACNA1S', 'PABPN1', 'MYH3', 'IKZF3', 'JPH1', 'FUS', 'IL1RN', 'ERAP1', 'FAS', 'SLC26A2', 'PRDM1', 'LACC1', 'AKAP13', 'SGPL1', 'HLA-DMB', 'SHOX', 'MEOX1', 'TRAF6', 'ERG', 'LIPE', 'COG4', 'SLC11A1', 'CD2', 'POU3F1', 'PRDM5', 'IGF1R', 'RAET1L', 'ATP2C1', 'SPTLC1', 'MUC5B', 'HLA-DPB1', 'ABCB7', 'LTA', 'HLA-DQB1', 'THBS2', 'TNFRSF14', 'TTC21B', 'COA7', 'MATN3', 'CD58', 'ATP11A', 'MYH7', 'CLCN1', 'BTNL2', 'VDR', 'SFRP4', 'ABCC6', 'ULBP3', 'GDF3', 'NFKBIL1', 'WDR19', 'HLA-B', 'PLIN1', 'PDGFB', 'ANTXR2', 'PIP4K2C', 'TNNI2', 'COL9A1', 'TLE3', 'RTEL1', 'TRAF1', 'STAC3', 'ERBB3', 'PMS2', 'HLA-DRB5', 'C5', 'IVD', 'GNE', 'PARN', 'CARD14', 'MAPT', 'DYNC2H1', 'HLA-DQB2', 'APC', 'HLA-DRA', 'TNFAIP3', 'TRIP11', 'MCM3AP', 'HLA-G', 'ETV4', 'PTPN2', 'SMCHD1', 'IL21', 'AKT2', 'MCF2L', 'UNC45B', 'JAG1', 'IL1R1', 'KDELR2', 'IL27', 'POLR3B', 'ERAP2', 'MAP3K7', 'PTGER4', 'MYL2', 'CARD9', 'JAG2', 'GGPS1', 'CCDC134', 'IL1R2', 'TAB2', 'SLC12A6', 'MT-TS1', 'CADM3', 'FAM13A', 'RCAN1', 'ANKH', 'IRF8', 'SPEG', 'BIN1', 'ZFPM2', 'SFTPA1', 'ATP7A', 'CCDC78', 'FLI1', 'CIDEC', 'ITGB3', 'CILP', 'IL12B', 'HLA-C', 'CD5', 'FLG', 'FBN1', 'CCL21', 'TMCO1', 'TGFB1', 'DNMT1', 'HLA-A', 'SCO2', 'SLC2A9', 'PCNT', 'SPRED2', 'DKC1', 'PTRH2', 'IL6ST', 'ABCA3', 'RBPJ', 'HLA-DQA2', 'TLR1', 'SFTPA2', 'TAGAP', 'TRAF3IP2', 'IL16', 'ASPN', 'SLC2A10', 'CEP120', 'TERT', 'ETV1', 'UBE2L3', 'GLI3', 'IGF2', 'NCOA3', 'SFTPC', 'IFT172', 'ADRA2A', 'IL6R', 'MAP2K1', 'FEV', 'HSPA1B', 'RUNX1', 'FLNA', 'NOTCH2', 'ABCG2', 'IFT80', 'STX17', 'DSP', 'IL2RB', 'COL9A2', 'DCTN2', 'ASTN2', 'TOLLIP', 'IRAK1', 'POPDC3', 'HLA-DRB1', 'PLEKHM1', 'PLOD2', 'PLEKHG5', 'DNAJB6', 'P4HB', 'POMT1', 'SERPINF1', 'MYOT', 'AIFM1', 'GFPT1', 'TPM2', 'COL5A2', 'KCNJ6', 'CYBB', 'SBF2', 'LMNA', 'VAMP1', 'IFITM5', 'SOST', 'DPM2', 'IL4', 'FGD4', 'PPARG', 'CRTAP', 'CHAT', 'SMAD6', 'MBTPS2', 'SPG7', 'CHRNA1', 'PMP2', 'SYNE2', 'INF2', 'ITGAM', 'MYPN', 'IL13', 'DNM2', 'ASXL1', 'MMP9', 'DES', 'NCF2', 'SP7', 'FGFR3', 'GNB4', 'LDB3', 'INPP5K', 'TK2', 'MGME1', 'MSTN', 'FKRP', 'SH3TC2', 'SBF1', 'SLC25A1', 'TCIRG1', 'MPZ', 'TNFRSF11A', 'IRF5', 'EXT2', 'POMT2', 'MEGF8', 'TWIST1', 'FKTN', 'PDK3', 'ODAM', 'EMD', 'TCF12', 'CHRNE', 'TMEM38B', 'TNF', 'SEC24D', 'PDXK', 'KLHL41', 'CREB3L1', 'ERF', 'COL1A1', 'SLC5A7', 'CAV3', 'NEFL', 'AGPAT2', 'ATRIP', 'MYO9A', 'ACTA1', 'LRSAM1', 'TTR', 'DNA2', 'PLEC', 'SGCD', 'TOR1AIP1', 'NEB', 'COLQ', 'PTPRC', 'TYMP', 'MMP2', 'CRP', 'TNXB', 'MFN2', 'TRIM32', 'LMOD3', 'SOX9', 'RNASEH1', 'COL6A2', 'DPAGT1', 'SGCB', 'TPM3', 'CD28', 'CTLA4', 'CLCN7', 'SGCG', 'CFL2', 'TMEM43', 'CR2', 'IFNG', 'MUSK', 'PLOD1', 'SCN4A', 'OSTM1', 'TNFSF11', 'RAPSN', 'SPG11', 'ATP1A1', 'EXT1', 'COMP', 'WNT1', 'APCS', 'SLC25A4', 'KBTBD13', 'FKBP14', 'DOK7', 'XRCC5', 'MED25', 'PYROXD1', 'TGFBR2', 'SLC25A46', 'ADAMTS2', 'HSPB1', 'B4GALT7', 'DHTKD1', 'CYBA', 'POLG', 'TRPV4', 'RAB7A', 'CAPN3', 'B3GALT6', 'LRP5', 'CHRNB1', 'PRPS1', 'PPIB', 'FGFR1', 'CTNNB1', 'NEFH', 'COL1A2', 'CD96', 'NDRG1', 'SERPINH1', 'RUNX2', 'CHRND', 'GMPPB', 'SGCA', 'BAG3', 'C1R', 'CYP26B1', 'AEBP1', 'IKBKG', 'RAB23', 'COL2A1', 'POLG2', 'MTMR2', 'TLR5', 'MPV17', 'RECQL4', 'CD40', 'TNFSF4', 'RRM2B', 'ZIC1', 'FREM1', 'EFNB1', 'HK1', 'GJB1', 'IL11RA', 'PRX', 'COL5A1', 'RYR1', 'POMK', 'C4B', 'SKI', 'CCL2', 'SAA1', 'MITF', 'NCF4', 'SLC18A3', 'EGR2', 'TGFBR1', 'KLHL40', 'ALG2', 'TTN', 'B3GALNT2', 'FCGR2B', 'DAG1', 'COL3A1', 'TNNT1', 'FLNC', 'BSCL2', 'CHKB', 'C4A', 'PPP3CA', 'B2M', 'LITAF', 'SPARC', 'MORC2', 'MSX2', 'COX6A1', 'ALX4', 'DPM1', 'LAMA2', 'APOE', 'COL6A1', 'BMP1', 'DYSF', 'COL13A1', 'HPRT1', 'DPM3', 'LRP4', 'CRYAB', 'FGFR2', 'MME', 'FKBP10', 'FIG4', 'XRCC6', 'SURF1', 'ACAN', 'ALG14', 'TNPO3', 'KY', 'SNAP25', 'DSE', 'ANO5', 'VCP', 'IL6', 'IL1A', 'LTK', 'STAT4', 'FHL1', 'LIMS2', 'NAGLU', 'RASGRP1', 'TRAPPC11', 'PDCD1', 'GDAP1', 'DGUOK', 'POGLUT1', 'COL12A1', 'SAA2', 'AGRN', 'CHST14', 'EWSR1', 'HSPB8', 'SYNE1', 'DYNC1H1', 'BVES', 'CA2', 'COL6A3', 'HNRNPDL', 'PMP22', 'CAV1', 'TOP3A', 'TREX1', 'TRIP4', 'IL1B', 'NCF1', 'FBLN5', 'POMGNT2', 'A2M', 'POR', 'SYT2', 'KIF1B', 'IL2', 'SNX10', 'PREPL', 'POMGNT1', 'SLC39A13', 'TRIM2', 'TCAP', 'C1S', 'IGHMBP2', 'ITGA7']",What are the Genes that are commonly associated with both disease of anatomical entity and musculoskeletal system disease?,"{""Nodes"":[""HLA-A"", ""HLA-B"", ""COL1A1"", ""APOE"", ""HLA-G"", ""HLA-C"", ""TNF"", ""COL2A1"", ""MYH3"", ""COL6A1""]}",50
Stormorken syndrome,mitochondrial complex III deficiency nuclear type 1,"['Abnormality of the eye', 'Abnormality of the cardiovascular system', 'Abnormality of the genitourinary system', 'Abnormality of the nervous system', 'Abnormality of the kidney', 'Morphological central nervous system abnormality']",What are the Symptoms that are commonly associated with both Stormorken syndrome and mitochondrial complex III deficiency nuclear type 1?,"{""Nodes"": [""Abnormality of the cardiovascular system"", ""Abnormality of the nervous system"", ""Abnormality of the genitourinary system"", ""Abnormality of the kidney"", ""Abnormality of the eye""]}",50
glutamate-cysteine ligase deficiency,mucopolysaccharidosis type IIID,"['Abnormality of the cardiovascular system', 'Reflex, Abnormal', 'Abnormality of the lymphatic system', 'Abnormality of movement', 'Splenomegaly', 'Speech Disorders', 'Abnormality of the genitourinary system', 'Dysarthria', 'Hepatomegaly', 'Intellectual Disability']",What are the Symptoms that are commonly associated with both glutamate-cysteine ligase deficiency and mucopolysaccharidosis type IIID?,"{""Nodes"": [""Intellectual Disability"", ""Speech Disorders"", ""Abnormality of movement"", ""Abnormality of the genitourinary system""]}",50
fibrosarcoma,congenital heart disease,"['embryo', 'cardiac atrium']",What are the Anatomy that are commonly associated with both fibrosarcoma and congenital heart disease?,"{""Nodes"":[""cardiac atrium""]}",50
well-differentiated liposarcoma,restless legs syndrome,"['appendage', 'forelimb stylopod', 'hindlimb zeugopod', 'arm']",What are the Anatomy that are commonly associated with both well-differentiated liposarcoma and restless legs syndrome?,"{""Nodes"": []}",50
malignant teratoma,psammomatous meningioma,"['middle cranial fossa', 'pineal body', 'third ventricle', 'cerebellopontine angle', 'middle ear', 'nasal cavity', 'ethmoid sinus', 'cauda equina', 'posterior cranial fossa', 'telencephalic ventricle', 'sella turcica', 'fourth ventricle', 'orbit of skull']",What are the Anatomy that are commonly associated with both malignant teratoma and psammomatous meningioma?,"{""Nodes"":[""middle cranial fossa"", ""posterior cranial fossa"", ""middle ear"", ""cauda equina"", ""cerebellopontine angle"", ""nasal cavity""]}",50
disease of anatomical entity,musculoskeletal system disease,"['STAT3', 'TLR7', 'IL17A', 'SVIL', 'LFNG', 'TRAPPC2', 'TBX6', 'HCN4', 'MESP2', 'SCN5A', 'RIPK1', 'EVC2', 'MTM1', 'BANK1', 'RIPPLY2', 'NOG', 'CYP2R1', 'CYP27B1', 'HES7', 'DLL3', 'EVC', 'MYH6', 'DNASE1', 'NLRP1', 'DNASE1L3', 'GIPC1', 'DMPK', 'HLA-DQA1', 'ZNF469', 'SF3B4', 'ARID5B', 'IFT140', 'ELMOD2', 'IL2RA', 'CD247', 'MCCC1', 'GDF6', 'DUX4', 'KIF5A', 'TINF2', 'TLR3', 'MICA', 'ABHD12', 'CHST3', 'DNAJB2', 'CSPP1', 'REL', 'BLK', 'KLRK1', 'FCGR2A', 'SIGMAR1', 'WDR35', 'ZFP36L1', 'CLEC16A', 'TNNT3', 'GATA3', 'ANKRD55', 'NOS3', 'COL9A3', 'PADI4', 'TYK2', 'OPA1', 'HSPB3', 'SMARCAL1', 'FLNB', 'IL23R', 'ARHGEF10', 'ACVR1', 'FBN2', 'POP1', 'ICOS', 'DCTN1', 'DOT1L', 'MCCC2', 'TNFRSF11B', 'GJA1', 'ATP2A1', 'ALDH1A2', 'NOTCH4', 'IKZF4', 'ABCC9', 'CNTNAP1', 'MIF', 'PRKCQ', 'ADAMTSL2', 'COL11A1', 'PTPN22', 'PXK', 'AFG3L2', 'SETX', 'COL11A2', 'AIRE', 'GDF5', 'ANKRD11', 'CNBP', 'SQSTM1', 'MYBPC1', 'GATA4', 'MTHFR', 'PRDX5', 'AFF3', 'DPP9', 'HINT1', 'DRP2', 'CACNA1S', 'PABPN1', 'MYH3', 'IKZF3', 'JPH1', 'FUS', 'IL1RN', 'ERAP1', 'FAS', 'SLC26A2', 'PRDM1', 'LACC1', 'AKAP13', 'SGPL1', 'HLA-DMB', 'SHOX', 'MEOX1', 'TRAF6', 'ERG', 'LIPE', 'COG4', 'SLC11A1', 'CD2', 'POU3F1', 'PRDM5', 'IGF1R', 'RAET1L', 'ATP2C1', 'SPTLC1', 'MUC5B', 'HLA-DPB1', 'ABCB7', 'LTA', 'HLA-DQB1', 'THBS2', 'TNFRSF14', 'TTC21B', 'COA7', 'MATN3', 'CD58', 'ATP11A', 'MYH7', 'CLCN1', 'BTNL2', 'VDR', 'SFRP4', 'ABCC6', 'ULBP3', 'GDF3', 'NFKBIL1', 'WDR19', 'HLA-B', 'PLIN1', 'PDGFB', 'ANTXR2', 'PIP4K2C', 'TNNI2', 'COL9A1', 'TLE3', 'RTEL1', 'TRAF1', 'STAC3', 'ERBB3', 'PMS2', 'HLA-DRB5', 'C5', 'IVD', 'GNE', 'PARN', 'CARD14', 'MAPT', 'DYNC2H1', 'HLA-DQB2', 'APC', 'HLA-DRA', 'TNFAIP3', 'TRIP11', 'MCM3AP', 'HLA-G', 'ETV4', 'PTPN2', 'SMCHD1', 'IL21', 'AKT2', 'MCF2L', 'UNC45B', 'JAG1', 'IL1R1', 'KDELR2', 'IL27', 'POLR3B', 'ERAP2', 'MAP3K7', 'PTGER4', 'MYL2', 'CARD9', 'JAG2', 'GGPS1', 'CCDC134', 'IL1R2', 'TAB2', 'SLC12A6', 'MT-TS1', 'CADM3', 'FAM13A', 'RCAN1', 'ANKH', 'IRF8', 'SPEG', 'BIN1', 'ZFPM2', 'SFTPA1', 'ATP7A', 'CCDC78', 'FLI1', 'CIDEC', 'ITGB3', 'CILP', 'IL12B', 'HLA-C', 'CD5', 'FLG', 'FBN1', 'CCL21', 'TMCO1', 'TGFB1', 'DNMT1', 'HLA-A', 'SCO2', 'SLC2A9', 'PCNT', 'SPRED2', 'DKC1', 'PTRH2', 'IL6ST', 'ABCA3', 'RBPJ', 'HLA-DQA2', 'TLR1', 'SFTPA2', 'TAGAP', 'TRAF3IP2', 'IL16', 'ASPN', 'SLC2A10', 'CEP120', 'TERT', 'ETV1', 'UBE2L3', 'GLI3', 'IGF2', 'NCOA3', 'SFTPC', 'IFT172', 'ADRA2A', 'IL6R', 'MAP2K1', 'FEV', 'HSPA1B', 'RUNX1', 'FLNA', 'NOTCH2', 'ABCG2', 'IFT80', 'STX17', 'DSP', 'IL2RB', 'COL9A2', 'DCTN2', 'ASTN2', 'TOLLIP', 'IRAK1', 'POPDC3', 'HLA-DRB1', 'PLEKHM1', 'PLOD2', 'PLEKHG5', 'DNAJB6', 'P4HB', 'POMT1', 'SERPINF1', 'MYOT', 'AIFM1', 'GFPT1', 'TPM2', 'COL5A2', 'KCNJ6', 'CYBB', 'SBF2', 'LMNA', 'VAMP1', 'IFITM5', 'SOST', 'DPM2', 'IL4', 'FGD4', 'PPARG', 'CRTAP', 'CHAT', 'SMAD6', 'MBTPS2', 'SPG7', 'CHRNA1', 'PMP2', 'SYNE2', 'INF2', 'ITGAM', 'MYPN', 'IL13', 'DNM2', 'ASXL1', 'MMP9', 'DES', 'NCF2', 'SP7', 'FGFR3', 'GNB4', 'LDB3', 'INPP5K', 'TK2', 'MGME1', 'MSTN', 'FKRP', 'SH3TC2', 'SBF1', 'SLC25A1', 'TCIRG1', 'MPZ', 'TNFRSF11A', 'IRF5', 'EXT2', 'POMT2', 'MEGF8', 'TWIST1', 'FKTN', 'PDK3', 'ODAM', 'EMD', 'TCF12', 'CHRNE', 'TMEM38B', 'TNF', 'SEC24D', 'PDXK', 'KLHL41', 'CREB3L1', 'ERF', 'COL1A1', 'SLC5A7', 'CAV3', 'NEFL', 'AGPAT2', 'ATRIP', 'MYO9A', 'ACTA1', 'LRSAM1', 'TTR', 'DNA2', 'PLEC', 'SGCD', 'TOR1AIP1', 'NEB', 'COLQ', 'PTPRC', 'TYMP', 'MMP2', 'CRP', 'TNXB', 'MFN2', 'TRIM32', 'LMOD3', 'SOX9', 'RNASEH1', 'COL6A2', 'DPAGT1', 'SGCB', 'TPM3', 'CD28', 'CTLA4', 'CLCN7', 'SGCG', 'CFL2', 'TMEM43', 'CR2', 'IFNG', 'MUSK', 'PLOD1', 'SCN4A', 'OSTM1', 'TNFSF11', 'RAPSN', 'SPG11', 'ATP1A1', 'EXT1', 'COMP', 'WNT1', 'APCS', 'SLC25A4', 'KBTBD13', 'FKBP14', 'DOK7', 'XRCC5', 'MED25', 'PYROXD1', 'TGFBR2', 'SLC25A46', 'ADAMTS2', 'HSPB1', 'B4GALT7', 'DHTKD1', 'CYBA', 'POLG', 'TRPV4', 'RAB7A', 'CAPN3', 'B3GALT6', 'LRP5', 'CHRNB1', 'PRPS1', 'PPIB', 'FGFR1', 'CTNNB1', 'NEFH', 'COL1A2', 'CD96', 'NDRG1', 'SERPINH1', 'RUNX2', 'CHRND', 'GMPPB', 'SGCA', 'BAG3', 'C1R', 'CYP26B1', 'AEBP1', 'IKBKG', 'RAB23', 'COL2A1', 'POLG2', 'MTMR2', 'TLR5', 'MPV17', 'RECQL4', 'CD40', 'TNFSF4', 'RRM2B', 'ZIC1', 'FREM1', 'EFNB1', 'HK1', 'GJB1', 'IL11RA', 'PRX', 'COL5A1', 'RYR1', 'POMK', 'C4B', 'SKI', 'CCL2', 'SAA1', 'MITF', 'NCF4', 'SLC18A3', 'EGR2', 'TGFBR1', 'KLHL40', 'ALG2', 'TTN', 'B3GALNT2', 'FCGR2B', 'DAG1', 'COL3A1', 'TNNT1', 'FLNC', 'BSCL2', 'CHKB', 'C4A', 'PPP3CA', 'B2M', 'LITAF', 'SPARC', 'MORC2', 'MSX2', 'COX6A1', 'ALX4', 'DPM1', 'LAMA2', 'APOE', 'COL6A1', 'BMP1', 'DYSF', 'COL13A1', 'HPRT1', 'DPM3', 'LRP4', 'CRYAB', 'FGFR2', 'MME', 'FKBP10', 'FIG4', 'XRCC6', 'SURF1', 'ACAN', 'ALG14', 'TNPO3', 'KY', 'SNAP25', 'DSE', 'ANO5', 'VCP', 'IL6', 'IL1A', 'LTK', 'STAT4', 'FHL1', 'LIMS2', 'NAGLU', 'RASGRP1', 'TRAPPC11', 'PDCD1', 'GDAP1', 'DGUOK', 'POGLUT1', 'COL12A1', 'SAA2', 'AGRN', 'CHST14', 'EWSR1', 'HSPB8', 'SYNE1', 'DYNC1H1', 'BVES', 'CA2', 'COL6A3', 'HNRNPDL', 'PMP22', 'CAV1', 'TOP3A', 'TREX1', 'TRIP4', 'IL1B', 'NCF1', 'FBLN5', 'POMGNT2', 'A2M', 'POR', 'SYT2', 'KIF1B', 'IL2', 'SNX10', 'PREPL', 'POMGNT1', 'SLC39A13', 'TRIM2', 'TCAP', 'C1S', 'IGHMBP2', 'ITGA7']",What are the Genes that are commonly associated with both disease of anatomical entity and musculoskeletal system disease?,"{""Nodes"":[""HLA-A"", ""HLA-B"", ""COL1A1"", ""APOE"", ""HLA-G"", ""HLA-C"", ""TNF"", ""COL2A1"", ""MYH3"", ""COL6A1""]}",50
combined oxidative phosphorylation deficiency 11,developmental and epileptic encephalopathy 73,"['Seizure', 'Behavioral abnormality', 'Abnormal cerebral white matter morphology', 'Morphological central nervous system abnormality', 'Deafness', 'Seizures', 'Hearing Loss']",What are the Symptoms that are commonly associated with both combined oxidative phosphorylation deficiency 11 and developmental and epileptic encephalopathy 73?,"{""Nodes"": [""Seizures"", ""Seizure"", ""Morphological central nervous system abnormality""]}",50
musculoskeletal system disease,bone development disease,"['CYP27B1', 'MAP3K7', 'CCDC134', 'TAB2', 'KDELR2', 'VDR', 'CYP2R1', 'HES7', 'TBX6', 'LFNG', 'DLL3', 'MESP2', 'RIPPLY2', 'EVC2', 'EVC', 'NOG', 'MYH3', 'TRAPPC2', 'MATN3', 'FLNA', 'CHST3', 'TRIP11', 'WDR35', 'TTC21B', 'POP1', 'CSPP1', 'ABCC9', 'IFT140', 'COG4', 'GLI3', 'TRPV4', 'WDR19', 'CEP120', 'FLNB', 'COMP', 'ADAMTSL2', 'FBN1', 'COL11A2', 'SF3B4', 'SFRP4', 'DYNC2H1', 'COL11A1', 'SMARCAL1', 'COL9A2', 'COL9A1', 'COL9A3', 'IFT172', 'PCNT', 'IFT80', 'SP7', 'SERPINH1', 'CYP26B1', 'SOX9', 'SHOX', 'PPP3CA', 'MEGF8', 'TGFBR2', 'RUNX2', 'COL2A1', 'CD96', 'FGFR3', 'RECQL4', 'RAB23', 'TWIST1', 'TCF12', 'SLC26A2', 'IFITM5', 'SEC24D', 'SKI', 'BMP1', 'ANO5', 'WNT1', 'CREB3L1', 'SERPINF1', 'MBTPS2', 'ERF', 'ASXL1', 'FGFR2', 'FREM1', 'PLOD2', 'COL1A2', 'POR', 'TGFBR1', 'MSX2', 'PPIB', 'ALX4', 'P4HB', 'CRTAP', 'LRP5', 'FGFR1', 'FKBP10', 'ZIC1', 'SPG7', 'TMEM38B', 'IL11RA', 'SMAD6', 'COL1A1', 'SPARC', 'EFNB1']",What are the Genes that are commonly associated with both musculoskeletal system disease and bone development disease?,"{""Nodes"": [""BMP1"", ""COL1A1"", ""TGFBR1""]}",50
choanal atresia,fibrosarcoma,"['larynx', 'maxillary sinus', 'nasal cavity']",What are the Anatomy that are commonly associated with both choanal atresia and fibrosarcoma?,"{""Nodes"":[""larynx"", ""maxillary sinus"", ""nasal cavity""]}",50
lipodystrophy,Charcot-Marie-Tooth disease,"['BSCL2', 'LMNA']",What are the Genes that are commonly associated with both lipodystrophy and Charcot-Marie-Tooth disease?,"{""Nodes"": [""LMNA""]}",50
combined oxidative phosphorylation deficiency 11,Ellis-Van Creveld syndrome,"['Abnormality of the cardiovascular system', 'Abnormality of the kidney', 'Abnormal heart morphology', 'Abnormality of the nervous system', 'Abnormality of the mouth', 'Abnormality of the genitourinary system', 'Morphological central nervous system abnormality']",What are the Symptoms that are commonly associated with both combined oxidative phosphorylation deficiency 11 and Ellis-Van Creveld syndrome?,"{""Nodes"": [""Abnormality of the cardiovascular system"", ""Abnormality of the genitourinary system"", ""Abnormality of the kidney"", ""Abnormality of the nervous system""]}",50
