disease_name,disease_id
familial episodic pain syndrome 1,DOID:0111729
encephalopathy due to defective mitochondrial and peroxisomal fission 1,DOID:0070347
amelogenesis imperfecta type 3C,DOID:0111722
Jacobsen Syndrome,DOID:0111723
amelogenesis imperfecta type 3,DOID:0111721
geleophysic dysplasia 2,DOID:0111726
geleophysic dysplasia 3,DOID:0111727
geleophysic dysplasia,DOID:0111724
geleophysic dysplasia 1,DOID:0111725
spinal muscular atrophy with lower extremity predominant 1,DOID:0070351
X-linked deafness 2,DOID:0111737
Middle East respiratory syndrome,DOID:0080642
aminoglycoside-induced deafness,DOID:0111734
Eiken syndrome,DOID:0111732
spinal muscular atrophy with lower extremity predominant 2B,DOID:0070350
"cerebellar hyplasia/atrophy, epilepsy, and global developmental delay",DOID:0070339
cryptophthalmia,DOID:0111716
familial episodic pain syndrome 3,DOID:0111731
cerebellar hypoplasia,DOID:0070338
pancreatic hypoplasia-diabetes-congenital heart disease syndrome,DOID:0111733
"neurodevelopmental disorder with cataracts, poor growth, and dysmorphic facies",DOID:0070346
B-cell acute lymphoblastic leukemia,DOID:0080638
vertebral anomalies and variable endocrine and T-cell dysfunction,DOID:0070345
adult-onset type II citrullinemia,DOID:0070342
classic citrullinemia,DOID:0070340
neonatal-onset type II citrullinemia,DOID:0070341
isolated cryptophthalmia,DOID:0111717
B-lymphoblastic leukemia/lymphoma,DOID:0080630
X-linked deafness 1,DOID:0111739
X-linked deafness 7,DOID:0111738
spinal muscular atrophy with lower extremity predominant,DOID:0070348
spinal muscular atrophy with lower extremity predominant 2A,DOID:0070349
X-linked deafness 4,DOID:0111735
familial episodic pain syndrome 2,DOID:0111730
gallbladder cancer,DOID:3121
Cytomegalovirus retinitis,DOID:0080160
lupus nephritis,DOID:0080162
myeloid and lymphoid neoplasms associated with PDGFRA rearrangement,DOID:0080165
"myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1",DOID:0080164
megacolon,DOID:11372
Coffin-Siris syndrome 3,DOID:0070045
Coffin-Siris syndrome 2,DOID:0070044
Schuurs-Hoeijmakers Syndrome,DOID:0070047
Coffin-Siris syndrome 4,DOID:0070046
autosomal dominant intellectual developmental disorder 11,DOID:0070041
autosomal dominant intellectual developmental disorder 10,DOID:0070040
autosomal dominant intellectual developmental disorder 13,DOID:0070043
Coffin-Siris syndrome 1,DOID:0070042
autosomal dominant intellectual developmental disorder 19,DOID:0070049
GAND syndrome,DOID:0070048
neuronal ceroid lipofuscinosis 11,DOID:0110732
neuronal ceroid lipofuscinosis 6B,DOID:0110730
neurodegeneration with brain iron accumulation 2b,DOID:0110736
neurodegeneration with brain iron accumulation 3,DOID:0110737
neurodegeneration with brain iron accumulation,DOID:0110734
vascular dementia,DOID:8725
neurodegeneration with brain iron accumulation 4,DOID:0110738
buphthalmos,DOID:11211
Parkinson's disease,DOID:14330
sensory system cancer,DOID:0060116
nervous system benign neoplasm,DOID:0060115
psoriasis,DOID:8893
thoracic disease,DOID:0060118
pharynx cancer,DOID:0060119
prostate disease,DOID:47
malignant hyperthermia,DOID:8545
"Hodgkin's lymphoma, lymphocytic-histiocytic predominance",DOID:8543
Sezary's disease,DOID:8541
optic nerve neoplasm,DOID:3419
male reproductive system disease,DOID:48
monocular esotropia,DOID:10293
aromatase excess syndrome,DOID:0090122
aromatic L-amino acid decarboxylase deficiency,DOID:0090123
neurogenic-type arthrogryposis multiplex congenita-2,DOID:0090124
brain small vessel disease 1,DOID:0090125
branched-chain keto acid dehydrogenase kinase deficiency,DOID:0090126
camptodactyly-arthropathy-coxa vara-pericarditis syndrome,DOID:0090127
Carvajal syndrome,DOID:0090128
carnitine palmitoyltransferase I deficiency,DOID:0090129
aortic valve stenosis,DOID:1712
atrial heart septal defect,DOID:1882
esophagitis,DOID:11963
primary systemic mycosis,DOID:0050292
hepatitis C,DOID:1883
megaesophagus,DOID:13186
gout,DOID:13189
serine deficiency,DOID:0050721
brain edema,DOID:4724
bile duct carcinoma,DOID:4897
juvenile myoclonic epilepsy,DOID:4890
fragile X-associated tremor/ataxia syndrome,DOID:0050879
PSPH deficiency,DOID:0050724
follicular lymphoma,DOID:0050873
fibroma,DOID:0050871
Caroli disease,DOID:0050876
schizophrenia,DOID:5419
schizoaffective disorder,DOID:5418
glycogen metabolism disorder,DOID:0050728
neutral lipid storage disease,
pancreatic cystadenoma,DOID:3918
agnosia,DOID:4090
neovascular inflammatory vitreoretinopathy,DOID:9719
familial hyperinsulinemic hypoglycemia 2,DOID:0070218
nephrotic syndrome type 2,DOID:0080379
protein-losing enteropathy,DOID:10611
congenital diaphragmatic hernia,DOID:3827
hereditary lymphedema IA,DOID:0070210
hereditary lymphedema I,DOID:0070212
familial hyperinsulinemic hypoglycemia 7,DOID:0070214
familial hyperinsulinemic hypoglycemia 4,DOID:0070215
familial hyperinsulinemic hypoglycemia 3,DOID:0070216
familial hyperinsulinemic hypoglycemia 6,DOID:0070217
medulloblastoma,DOID:0050902
Carey-Fineman-Ziter syndrome,DOID:0080194
Marinesco-Sjogren syndrome,DOID:0080195
"mandibulofacial dysostosis, Guion-Almeida type",DOID:0080196
congenital muscular dystrophy with cataracts and intellectual disability,DOID:0080197
PTEN hamartoma tumor syndrome,DOID:0080191
selective IgA deficiency disease,DOID:11701
colorectal carcinoma,DOID:0080199
hyperpituitarism,DOID:2444
granulosa cell tumor,DOID:2999
testicular cancer,DOID:2998
acromegaly,DOID:2449
osteoarthritis,DOID:8398
portal hypertension,DOID:10762
hypertension,DOID:10763
ovarian disease,DOID:1100
HELLP syndrome,DOID:13133
myoepithelioma,DOID:2661
borna disease,DOID:5154
autosomal dominant nonsyndromic deafness 7,DOID:0110591
maturity-onset diabetes of the young type 10,DOID:0111108
maturity-onset diabetes of the young type 11,DOID:0111109
optic disk drusen,DOID:13561
maturity-onset diabetes of the young type 3,DOID:0111102
maturity-onset diabetes of the young type 4,DOID:0111103
maturity-onset diabetes of the young type 2,DOID:0111100
maturity-onset diabetes of the young type 5,DOID:0111101
maturity-onset diabetes of the young type 7,DOID:0111106
maturity-onset diabetes of the young type 9,DOID:0111107
maturity-onset diabetes of the young type 6,DOID:0111104
maturity-onset diabetes of the young type 8,DOID:0111105
autosomal recessive nonsyndromic deafness 48,DOID:0110505
autosomal recessive nonsyndromic deafness 49,DOID:0110506
autosomal recessive nonsyndromic deafness 44,DOID:0110501
autosomal recessive nonsyndromic deafness 42,DOID:0110500
autosomal recessive nonsyndromic deafness 53,DOID:0110509
congenital generalized lipodystrophy type 3,DOID:0111137
blood protein disease,DOID:620
complement deficiency,DOID:626
severe combined immunodeficiency,DOID:627
combined T cell and B cell immunodeficiency,DOID:628
"T-cell immunodeficiency, congenital alopecia, and nail dystrophy",DOID:0060769
neurodegeneration with brain iron accumulation 5,DOID:0110739
focal segmental glomerulosclerosis 8,DOID:0111133
focal segmental glomerulosclerosis 7,DOID:0111132
focal segmental glomerulosclerosis 6,DOID:0111131
focal segmental glomerulosclerosis 5,DOID:0111130
Smith-Magenis syndrome,DOID:0060768
acute leukemia,DOID:12603
Noonan syndrome with multiple lentigines,DOID:14291
diabetic macular edema,DOID:9191
primary ciliary dyskinesia 21,DOID:0110596
spastic quadriplegic cerebral palsy,DOID:10970
membranous glomerulonephritis,DOID:10976
thrombocytopenia,DOID:1588
subvalvular aortic stenosis,DOID:5805
hydrophthalmos,DOID:11212
rheumatic fever,DOID:1586
avoidant personality disorder,DOID:1509
candidiasis,DOID:1508
steroid-induced glaucoma,DOID:9946
lymph node disease,DOID:9942
pollen allergy,DOID:0060497
respiratory allergy,DOID:0060496
shellfish allergy,DOID:0060495
SPOAN syndrome,DOID:0060491
Schimke immuno-osseous dysplasia,DOID:0060490
amelogenesis imperfecta type 3B,DOID:0080243
Hermansky-Pudlak syndrome 3,DOID:0060541
primary ciliary dyskinesia 22,DOID:0110597
Hermansky-Pudlak syndrome 2,DOID:0060540
Hermansky-Pudlak syndrome 5,DOID:0060543
Hermansky-Pudlak syndrome 4,DOID:0060542
Askin's tumor,DOID:0050608
acrodermatitis enteropathica,DOID:0050605
acrocapitofemoral dysplasia,DOID:0050604
acrokeratosis verruciformis,DOID:0050606
ADULT syndrome,DOID:0050601
ABCD syndrome,DOID:0050600
acheiropody,DOID:0050603
triple-A syndrome,DOID:0050602
Hermansky-Pudlak syndrome 9,DOID:0060547
histiocytic and dendritic cell cancer,DOID:5621
keratoconjunctivitis,DOID:9368
periodontitis,DOID:824
myocarditis,DOID:820
hair follicle neoplasm,DOID:5375
Costello syndrome,DOID:0050469
aspartylglucosaminuria,DOID:0050461
Wolf-Hirschhorn syndrome,DOID:0050460
campomelic dysplasia,DOID:0050463
Antley-Bixler syndrome with disordered steroidogenesis,DOID:0050462
Muir-Torre syndrome,DOID:0050465
chronic fatigue syndrome,DOID:8544
erythrokeratodermia variabilis,DOID:0050467
Loeys-Dietz syndrome,DOID:0050466
somatostatinoma,DOID:4430
breast carcinoma,DOID:3459
breast adenocarcinoma,DOID:3458
skin carcinoma,DOID:3451
cutaneous Paget's disease,DOID:3450
brain infarction,DOID:3454
invasive lobular carcinoma,DOID:3457
hyperthyroxinemia,DOID:2855
Huntington's disease,DOID:12858
choreatic disease,DOID:12859
pulmonary edema,DOID:11396
adult respiratory distress syndrome,DOID:11394
type 1 diabetes mellitus 22,DOID:0110759
scurvy,DOID:13724
X-linked dyskeratosis congenita,DOID:0070025
autosomal recessive dyskeratosis congenita 6,DOID:0070024
type 1 diabetes mellitus 12,DOID:0110751
APP-related cerebral amyloid angiopathy,DOID:0070028
type 1 diabetes mellitus 20,DOID:0110757
Hodgkin's lymphoma,DOID:8567
gonadal disease,DOID:2277
pharyngitis,DOID:2275
distal 10q deletion syndrome,DOID:0060390
chromosome 15q13.3 microdeletion syndrome,DOID:0060394
chromosome 15q24 deletion syndrome,DOID:0060395
retinal telangiectasia,DOID:7736
uterine carcinosarcoma,DOID:6171
pantothenate kinase-associated neurodegeneration,DOID:3981
Hermansky-Pudlak syndrome 1,DOID:0060539
hepatoid adenocarcinoma,DOID:0060534
Warsaw breakage syndrome,DOID:0060535
mitochondrial complex I deficiency,DOID:0060536
mitochondrial complex II deficiency,DOID:0060537
laryngostenosis,DOID:11527
persistent Mullerian duct syndrome,DOID:0050791
piebaldism,DOID:3263
autosomal dominant hypocalcemia 2,DOID:0090108
autosomal dominant hypocalcemia,DOID:0090109
BH4-deficient hyperphenylalaninemia A,DOID:0090106
autosomal dominant hypocalcemia 1,DOID:0090107
Huntington's disease-like 2,DOID:0090104
autosomal recessive hypercholesterolemia,DOID:0090105
autosomal dominant macrothrombocytopenia TUBB1-related,DOID:0090102
Huntington's disease-like 1,DOID:0090103
lethal congenital glycogen storage disease of heart,DOID:0090101
oral submucous fibrosis,DOID:5773
peripheral nervous system neoplasm,DOID:1192
cherubism,DOID:1856
anterior horn cell disease,DOID:4873
mongolian spot,DOID:4702
bronchiolitis obliterans,DOID:2799
centronuclear myopathy,DOID:14717
biotin deficiency,DOID:0050810
congenital adrenal hyperplasia,DOID:0050811
"spondyloepimetaphyseal dysplasia, Pakistani type",DOID:0050812
temtamy preaxial brachydactyly syndrome,DOID:0050814
urofacial syndrome,DOID:0050816
transcobalamin II deficiency,DOID:0050818
Norum disease,DOID:1391
rectum cancer,DOID:1993
rectum adenocarcinoma,DOID:1996
pseudopapilledema,DOID:1392
macroglobulinemia,DOID:9080
irritable bowel syndrome,DOID:9778
bowel dysfunction,DOID:9779
developmental and epileptic encephalopathy 44,DOID:0080424
developmental and epileptic encephalopathy 47,DOID:0080425
Phelan-McDermid syndrome,DOID:0080354
developmental and epileptic encephalopathy 40,DOID:0080427
developmental and epileptic encephalopathy 62,DOID:0080420
developmental and epileptic encephalopathy 11,DOID:0080421
Dravet syndrome,DOID:0080422
benign recurrent intrahepatic cholestasis 1,DOID:0070231
developmental and epileptic encephalopathy 45,DOID:0080428
developmental and epileptic encephalopathy 24,DOID:0080429
primary coenzyme Q10 deficiency 1,DOID:0070238
primary coenzyme Q10 deficiency 2,DOID:0070239
blood group incompatibility,DOID:4176
retinal vascular disease,DOID:2462
psychotic disorder,DOID:2468
transient bullous dermolysis of the newborn,DOID:0111345
epidermolysis bullosa simplex with mottled pigmentation,DOID:0111346
epidermolysis bullosa with congenital localized absence of skin and deformity of nails,DOID:0111347
dominant optic atrophy plus syndrome,DOID:0111340
primary failure of tooth eruption,DOID:0111341
dermatopathia pigmentosa reticularis,DOID:0111342
lateral meningocele syndrome,DOID:0111343
gestational trophoblastic neoplasm,DOID:3590
epithelioid trophoblastic tumor,DOID:3593
choriocarcinoma,DOID:3594
hereditary desmoid disease,DOID:0111349
placental site trophoblastic tumor,DOID:3596
perivascular epithelioid cell tumor,DOID:2643
ovarian germ cell monodermal and highly specialized teratoma,DOID:2641
struma ovarii,DOID:2640
benign mesothelioma,DOID:2645
Borst-Jadassohn intraepidermal carcinoma,DOID:7039
camptodactyly-tall stature-scoliosis-hearing loss syndrome,DOID:0111160
familial adult myoclonic epilepsy 4,DOID:0111693
epidermal nevus,DOID:0111162
molybdenum cofactor deficiency type B,DOID:0111163
molybdenum cofactor deficiency type A,DOID:0111164
molybdenum cofactor deficiency,DOID:0111165
molybdenum cofactor deficiency type C,DOID:0111166
Dyggve-Melchior-Clausen disease,DOID:0111167
sepiapterin reductase deficiency,DOID:0111168
subcortical band heterotopia,DOID:0111169
proprotein convertase 1/3 deficiency,DOID:0111698
Van den Ende-Gupta syndrome,DOID:0111699
autosomal dominant nonsyndromic deafness 36,DOID:0110563
autosomal dominant nonsyndromic deafness 41,DOID:0110567
autosomal dominant nonsyndromic deafness 40,DOID:0110566
dermatophytosis,DOID:8913
autosomal dominant nonsyndromic deafness 44,DOID:0110569
amblyopia,DOID:10376
strabismic amblyopia,DOID:10375
ectropion,DOID:1570
plasma protein metabolism disease,DOID:2345
normal pressure hydrocephalus,DOID:1572
communicating hydrocephalus,DOID:1573
abdominal aortic aneurysm,DOID:7693
rheumatic disease,DOID:1575
limited scleroderma,DOID:1577
leukocyte adhesion deficiency,DOID:6612
hypertrophic cardiomyopathy 1,DOID:0110307
peptic esophagitis,DOID:13976
measles,DOID:8622
nephritis,DOID:10952
ichthyosis,DOID:1697
congenital hypoplastic anemia,DOID:1342
pure red-cell aplasia,DOID:1340
hypertrophic cardiomyopathy 2,DOID:0110308
lymphoproliferative syndrome 1,DOID:0060707
X-linked lymphoproliferative syndrome 2,DOID:0060706
X-linked lymphoproliferative syndrome 1,DOID:0060705
lymphoproliferative syndrome,DOID:0060704
Muenke Syndrome,DOID:0060703
familial hypocalciuric hypercalcemia 3,DOID:0060702
familial hypocalciuric hypercalcemia 2,DOID:0060701
familial hypocalciuric hypercalcemia 1,DOID:0060700
lymphoproliferative syndrome 2,DOID:0060708
Joubert syndrome 10,DOID:0110981
Joubert syndrome 1,DOID:0110980
Joubert syndrome 14,DOID:0110983
Joubert syndrome 13,DOID:0110982
Joubert syndrome 16,DOID:0110985
Joubert syndrome 15,DOID:0110984
Joubert syndrome 18,DOID:0110987
Joubert syndrome 17,DOID:0110986
Joubert syndrome 20,DOID:0110989
Joubert syndrome 2,DOID:0110988
toxoplasmosis,DOID:9965
carotenemia,DOID:9969
urethral disease,DOID:732
hereditary nonpolyposis colorectal cancer type 2,DOID:0070274
Bethlem myopathy,DOID:0050663
bestrophinopathy,DOID:0050662
vitelliform macular dystrophy,DOID:0050661
Beare-Stevenson cutis gyrata syndrome,DOID:0050660
Bietti crystalline corneoretinal dystrophy,DOID:0050664
penile disease,DOID:1529
choroid plexus carcinoma,DOID:5648
colon carcinoma,DOID:1520
enthesopathy,DOID:204
hereditary multiple exostoses,DOID:206
cocaine abuse,DOID:809
osteomalacia,DOID:10573
exanthem,DOID:0050486
multinodular goiter,DOID:0050489
cervical adenocarcinoma,DOID:3702
brachial plexus neuropathy,DOID:3690
Menkes disease,DOID:1838
Kawasaki disease,DOID:13378
alpha 1-antitrypsin deficiency,DOID:13372
mononeuritis multiplex,DOID:1835
diabetic ketoacidosis,DOID:1837
temporal arteritis,DOID:13375
Graves' disease,DOID:12361
malaria,DOID:12365
rhizomelic chondrodysplasia punctata,DOID:2580
laryngeal squamous cell carcinoma,DOID:2876
endometrial adenocarcinoma,DOID:2870
endometrial carcinoma,DOID:2871
"asthma, nasal polyps, and aspirin intolerance",DOID:0111579
Gillespie syndrome,DOID:0111578
dehydrated hereditary stomatocytosis 2,DOID:0111577
dehydrated hereditary stomatocytosis 1,DOID:0111576
dehydrated hereditary stomatocytosis,DOID:0111575
autosomal recessive woolly hair 3,DOID:0111574
autosomal dominant woolly hair,DOID:0111573
familial woolly hair syndrome,DOID:0111572
Weyers acrofacial dysostosis,DOID:0111571
snowflake vitreoretinal degeneration,DOID:0111570
Seckel syndrome 8,DOID:0070009
Seckel syndrome 10,DOID:0070008
premature ejaculation,DOID:13709
3-methylglutaconic aciduria type 8,DOID:0070000
blastoma,DOID:0070003
3-methylglutaconic aciduria type 9,DOID:0070002
Seckel syndrome 9,DOID:0070005
myeloid neoplasm,DOID:0070004
Seckel syndrome 1,DOID:0070007
Seckel syndrome 6,DOID:0070006
hereditary spastic paraplegia 26,DOID:0110777
hereditary spastic paraplegia 23,DOID:0110774
hereditary spastic paraplegia 2,DOID:0110773
hereditary spastic paraplegia 17,DOID:0110770
hereditary spastic paraplegia 18,DOID:0110771
acute megakaryocytic leukemia,DOID:8761
arteriosclerosis obliterans,DOID:5160
cervix disease,DOID:2253
osteochondrodysplasia,DOID:2256
cataract,DOID:83
osteochondritis dissecans,DOID:84
chronic kidney disease,DOID:784
placenta disease,DOID:780
end stage renal disease,DOID:783
childhood leukemia,DOID:7757
double outlet right ventricle,DOID:6406
mitral valve stenosis,DOID:1754
facial nerve disease,DOID:1756
fish allergy,DOID:0060513
peach allergy,DOID:0060510
bile duct adenocarcinoma,DOID:4896
kidney osteogenic sarcoma,DOID:5983
pemphigoid gestationis,DOID:14482
sporotrichosis,DOID:14484
uveitis,DOID:13141
hepatic coma,DOID:12550
hemolytic-uremic syndrome,DOID:12554
Duane retraction syndrome,DOID:12557
acute kidney tubular necrosis,DOID:12556
idiopathic juvenile osteoporosis,DOID:12559
chronic progressive external ophthalmoplegia,DOID:12558
pleomorphic xanthoastrocytoma,DOID:4852
choanal atresia,DOID:9574
large cell neuroendocrine carcinoma,DOID:0050872
Weaver syndrome,DOID:14731
hepatoblastoma,DOID:687
craniofrontonasal syndrome,DOID:14737
hereditary angioedema,DOID:14735
gastric adenocarcinoma,DOID:3717
acrodysostosis,DOID:14669
pulmonary venoocclusive disease,DOID:5453
retinal detachment,DOID:5327
pancreatic agenesis,DOID:0050877
secretory meningioma,DOID:4588
benign meningioma,DOID:4587
Charcot-Marie-Tooth disease X-linked dominant 1,DOID:0110209
orofacial cleft 10,DOID:0080403
orofacial cleft 8,DOID:0080401
orofacial cleft 11,DOID:0080404
orofacial cleft 15,DOID:0080408
amelogenesis imperfecta hypomaturation type 2A4,DOID:0110062
adrenal cortical hypofunction,DOID:10493
peritoneal mesothelioma,DOID:1788
prolymphocytic leukemia,DOID:1039
segmental dystonia,DOID:0050838
focal dystonia,DOID:0050836
multifocal dystonia,DOID:0050837
CHARGE syndrome,DOID:0050834
generalized dystonia,DOID:0050835
orotic aciduria,DOID:0050833
peripheral artery disease,DOID:0050830
familial encephalopathy with neuroserpin inclusion bodies,DOID:0050831
melanoma and neural system tumor syndrome,DOID:0111511
Erdheim-Chester disease,DOID:4329
Marshall syndrome,DOID:0111510
Ebola hemorrhagic fever,DOID:4325
metachondromatosis,DOID:0111512
autosomal recessive progressive external ophthalmoplegia with mitochondrial DNA deletions 2,DOID:0111515
metatropic dysplasia,DOID:0111514
hawkinsinuria,DOID:0111362
Heinz body anemia,DOID:0111363
hypotrichosis-lymphedema-telangiectasia-renal defect syndrome,DOID:0111360
hypotrichosis-lymphedema-telangiectasia syndrome,DOID:0111361
familial hepatic adenoma,DOID:0111366
childhood medulloblastoma,DOID:3869
Alzheimer's disease 9,DOID:0111364
benign familial hematuria,DOID:0111365
adult medulloblastoma,DOID:3864
hyperalphalipoproteinemia 1,DOID:0111369
medullomyoblastoma,DOID:3861
short-rib thoracic dysplasia 13 with or without polydactyly,DOID:0110093
short-rib thoracic dysplasia 6 with or without polydactyly,DOID:0110092
short-rib thoracic dysplasia 10 with or without polydactyly,DOID:0110091
short-rib thoracic dysplasia 7 with or without polydactyly,DOID:0110090
short-rib thoracic dysplasia 9 with or without polydactyly,DOID:0110097
short-rib thoracic dysplasia 14 with polydactyly,DOID:0110096
short-rib thoracic dysplasia 11 with or without polydactyly,DOID:0110095
short-rib thoracic dysplasia 8 with or without polydactyly,DOID:0110094
atopic dermatitis 2,DOID:0110098
isolated ectopia lentis,DOID:0111148
autosomal recessive isolated ectopia lentis 2,DOID:0111149
acquired von Willebrand syndrome,DOID:0111146
preterm premature rupture of the membranes,DOID:0111144
IGSF1 deficiency syndrome,DOID:0111140
delayed sleep phase syndrome,DOID:0111141
long QT syndrome 3,DOID:0110646
epithelioid type angiomyolipoma,DOID:3318
lymphangioleiomyomatosis,DOID:3319
bipolar disorder,DOID:3312
atopic dermatitis,DOID:3310
perivascular tumor,DOID:3316
lipoma,DOID:3315
Dubin-Johnson syndrome,DOID:12308
familial hyperinsulinemic hypoglycemia 1,DOID:0070219
primary autosomal recessive microcephaly 14,DOID:0070279
adult-onset Still's disease,DOID:14256
Down syndrome,DOID:14250
vitreoretinal dystrophy,DOID:14251
migraine,DOID:6364
acquired color blindness,DOID:13912
red color blindness,DOID:13910
achromatopsia,DOID:13911
autosomal dominant nonsyndromic deafness 1,DOID:0110541
cataract 39 multiple types,DOID:0110236
autosomal dominant nonsyndromic deafness 12,DOID:0110544
impulse control disorder,DOID:10937
borderline personality disorder,DOID:10930
obsessive-compulsive disorder,DOID:10933
obsessive-compulsive personality disorder,DOID:10932
gastroesophageal cancer,DOID:0080374
antisocial personality disorder,DOID:10939
trichorhinophalangeal syndrome type III,DOID:0080376
gastroschisis,DOID:11044
peroxisomal biogenesis disorder,DOID:0080377
X-linked cleft palate with or without ankyloglossia,DOID:0060613
NGLY1-deficiency,DOID:0060728
autosomal recessive congenital ichthyosis 11,DOID:0060720
ulnar-mammary syndrome,DOID:0060614
breast implant-associated anaplastic large cell lymphoma,DOID:0070333
monodermal teratoma,DOID:5207
inflammatory bowel disease 28,DOID:0110899
ovarian seromucinous carcinoma,DOID:6898
lung cancer,DOID:1324
sex cord-gonadal stromal tumor,DOID:192
reproductive organ cancer,DOID:193
Rh deficiency syndrome,DOID:0050641
hypochromic microcytic anemia,DOID:0050642
arterial calcification of infancy,DOID:0050644
distal arthrogryposis,DOID:0050646
atransferrinemia,DOID:0050649
atelosteogenesis,DOID:0050648
testis seminoma,DOID:5842
female reproductive system disease,DOID:229
ankylosis,DOID:227
transient cerebral ischemia,DOID:224
syndrome,DOID:225
bile duct disease,DOID:4138
pure hair and nail ectodermal dysplasia,DOID:0111655
rhabdoid cancer,DOID:3672
childhood kidney cancer,DOID:3675
kidney rhabdoid cancer,DOID:3674
trophoblastic neoplasm,DOID:4085
Ehlers-Danlos syndrome,DOID:13359
osteogenesis imperfecta,DOID:12347
Bloch-Sulzberger syndrome,DOID:12305
"myopathy, lactic acidosis, and sideroblastic anemia",DOID:0080099
myofibrillar myopathy 7,DOID:0080098
alpha-mannosidosis,DOID:3413
infant gynecomastia,DOID:11603
spheroid body myopathy,DOID:0080091
reducing body myopathy 1A,DOID:0080090
myofibrillar myopathy 2,DOID:0080093
myofibrillar myopathy 1,DOID:0080092
fungal meningitis,DOID:11608
myofibrillar myopathy 3,DOID:0080094
myofibrillar myopathy 6,DOID:0080097
myofibrillar myopathy 5,DOID:0080096
Alkuraya-Kucinskas syndrome,DOID:0111555
