,disease_in_question,refDisease,compoundGroundTruth,text
10,erythropoietic protoporphyria,intrahepatic cholestasis,"['S-adenosylmethionine', 'Odevixibat', 'Ursodeoxycholic acid']","If erythropoietic protoporphyria resembles intrahepatic cholestasis, what compounds that treat intrahepatic cholestasis can be repurposed to treat erythropoietic protoporphyria?"
11,Noonan syndrome,isolated growth hormone deficiency,"['SOMATROGON', 'ALBUSOMATROPIN', 'SOMATROPIN', 'Arginine', 'LONAPEGSOMATROPIN', 'Atropine', 'SOMAVARATAN']","If Noonan syndrome resembles isolated growth hormone deficiency, what compounds that treat isolated growth hormone deficiency can be repurposed to treat Noonan syndrome?"
12,presbyopia,keratoconus,"['Riboflavin', 'Flavin mononucleotide']","If presbyopia resembles keratoconus, what compounds that treat keratoconus can be repurposed to treat presbyopia?"
13,functional colonic disease,lactose intolerance,['LACTASE'],"If functional colonic disease resembles lactose intolerance, what compounds that treat lactose intolerance can be repurposed to treat functional colonic disease?"
14,lymphopenia,leukopenia,"['Fluconazole', 'Posaconazole']","If lymphopenia resembles leukopenia, what compounds that treat leukopenia can be repurposed to treat lymphopenia?"
15,epidermolysis bullosa simplex,limb-girdle muscular dystrophy,['Deflazacort'],"If epidermolysis bullosa simplex resembles limb-girdle muscular dystrophy, what compounds that treat limb-girdle muscular dystrophy can be repurposed to treat epidermolysis bullosa simplex?"
16,hepatic encephalopathy,liver disease,"['FIBRINOGEN, HUMAN', ""Dimethyl [1,1'-biphenyl]-4,4'-dicarboxylate"", 'Fentanyl', 'Hydromorphone', 'Pioglitazone', 'Cholic acid', 'Tenofovir disoproxil', 'METRELEPTIN', 'Entecavir', 'D-Glucose', 'Gabexate', 'Caloxetic acid', 'Cysteine', 'Alpha-Tocopherol', 'FILGRASTIM', 'Bupivacaine', 'Methionine', 'Avatrombopag', 'Ursodeoxycholic acid']","If hepatic encephalopathy resembles liver disease, what compounds that treat liver disease can be repurposed to treat hepatic encephalopathy?"
17,prosopagnosia,migraine with aura,"['CID 4105431', 'Rizatriptan benzoate', 'Dihydroergotamine', 'Rizatriptan', 'Sumatriptan', 'Caffeine', 'Promethazine', 'Eletriptan', 'Tizanidine']","If prosopagnosia resembles migraine with aura, what compounds that treat migraine with aura can be repurposed to treat prosopagnosia?"
18,malignant hyperthermia,mitochondrial myopathy,['Elamipretide'],"If malignant hyperthermia resembles mitochondrial myopathy, what compounds that treat mitochondrial myopathy can be repurposed to treat malignant hyperthermia?"
19,mucopolysaccharidosis type IIID,mucopolysaccharidosis I,['LARONIDASE'],"If mucopolysaccharidosis type IIID resembles mucopolysaccharidosis I, what compounds that treat mucopolysaccharidosis I can be repurposed to treat mucopolysaccharidosis type IIID?"
20,mucopolysaccharidosis type IIIC,mucopolysaccharidosis II,"['IDURSULFASE', 'PABINAFUSP ALFA', 'IDURSULFASE BETA']","If mucopolysaccharidosis type IIIC resembles mucopolysaccharidosis II, what compounds that treat mucopolysaccharidosis II can be repurposed to treat mucopolysaccharidosis type IIIC?"
21,COVID-19,multiple sclerosis,"['Tetranabinex', 'ALEMTUZUMAB', 'Dantrolene', 'Prednisolone phosphate', 'OFATUMUMAB', 'INFLUENZA VIRUS VACCINE', '(2S)-2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]-3-[4-[(6E)-2-[(E)-2-[3,3-dimethyl-5-sulfo-1-(4-sulfobutyl)indol-1-ium-2-yl]ethenyl]-6-[2-[3,3-dimethyl-5-sulfo-1-(4-sulfobutyl)indol-2-ylidene]ethylidene]cyclohexen-1-yl]oxyphenyl]propanoic acid', 'Acetaminophen', 'Ozanimod', 'Triamcinolone Acetonide', 'NATALIZUMAB', 'Water', 'Diroximel fumarate', 'Cyclophosphamide', 'Methylprednisolone', 'Biotin', 'Methylprednisolone hemisuccinate', 'Dexamethasone', 'Methylphenidate', 'Dextromethorphan', 'ONABOTULINUMTOXINA', 'Tolebrutinib', 'TETANUS TOXOID', 'Ibuprofen', 'Naproxen', 'Acyclovir', 'UBLITUXIMAB', 'Simvastatin', 'Clemastine', 'Laquinimod', 'INTERFERON BETA', 'Cladribine', 'Teriflunomide', 'Ranitidine', 'PEGINTERFERON BETA-1A', 'Masitinib', 'Ergocalciferol', 'Methotrexate', 'Amantadine', 'Methane', 'Minocycline', 'Ponesimod', 'GLOBULIN, IMMUNE', 'Prednicarbate', 'Prednisolone', 'Monomethyl fumarate', 'Estradiol', '4-Aminopyridine', 'Evobrutinib', 'INTERFERON BETA-1A', 'Prednisolone acetate', 'Arbaclofen placarbil', 'Modafinil', 'Terfenadine', 'Leflunomide', 'RITUXIMAB', 'Vidofludimus', 'Nomegestrol acetate', 'Corticotropin', 'Fingolimod', 'Baclofen', 'Donepezil', 'Fenebrutinib', 'Quinidine', 'Isopropyl Alcohol', 'Mycophenolic acid', 'Memantine', 'D-Glucose', 'Cetirizine', 'Siponimod', 'Remibrutinib', 'Naltrexone', 'Dimethyl Fumarate', 'DACLIZUMAB', 'Lincomycin', '(3-Carboxy-2-(R)-hydroxy-propyl)-trimethyl-ammonium', 'Dexchlorpheniramine', 'Aspirin', 'OCRELIZUMAB', 'Cannabinol', '3,4-Diaminopyridine', 'Interferon beta-1b', 'Prednisone']","If COVID-19 resembles multiple sclerosis, what compounds that treat multiple sclerosis can be repurposed to treat COVID-19?"
22,ocular motility disease,multiple system atrophy,"['Droxidopa', 'Epigallocatechin Gallate', 'Verdiperstat', 'Riluzole', 'Ioflupane I-123', 'Rifampicin', 'Ampreloxetine']","If ocular motility disease resembles multiple system atrophy, what compounds that treat multiple system atrophy can be repurposed to treat ocular motility disease?"
23,restless legs syndrome,myotonic disease,['Dichlorphenamide'],"If restless legs syndrome resembles myotonic disease, what compounds that treat myotonic disease can be repurposed to treat restless legs syndrome?"
24,periodic limb movement disorder,narcolepsy,"['Pitolisant', 'Dextroamphetamine', '4-Hydroxybutanoic acid', 'Armodafinil', 'bis{(2S)-1-phenylpropan-2-amine} sulfate', 'Methylphenidate', 'Solriamfetol', 'Amphedrine', 'Modafinil', 'Dextroamphetamine monosaccharate']","If periodic limb movement disorder resembles narcolepsy, what compounds that treat narcolepsy can be repurposed to treat periodic limb movement disorder?"
25,hepatoblastoma,nephroblastoma,"['Vincristine', 'Doxorubicin', 'Etoposide', 'Cyclophosphamide', 'Dactinomycin']","If hepatoblastoma resembles nephroblastoma, what compounds that treat nephroblastoma can be repurposed to treat hepatoblastoma?"
26,iris cancer,neurofibromatosis,"['Sirolimus', 'Selumetinib']","If iris cancer resembles neurofibromatosis, what compounds that treat neurofibromatosis can be repurposed to treat iris cancer?"
27,Sheehan syndrome,neurohypophyseal diabetes insipidus,['Desmopressin'],"If Sheehan syndrome resembles neurohypophyseal diabetes insipidus, what compounds that treat neurohypophyseal diabetes insipidus can be repurposed to treat Sheehan syndrome?"
28,dentatorubral-pallidoluysian atrophy,neuronal ceroid lipofuscinosis,['CERLIPONASE ALFA'],"If dentatorubral-pallidoluysian atrophy resembles neuronal ceroid lipofuscinosis, what compounds that treat neuronal ceroid lipofuscinosis can be repurposed to treat dentatorubral-pallidoluysian atrophy?"
29,Reye syndrome,ornithine carbamoyltransferase deficiency,['Acetic Acid'],"If Reye syndrome resembles ornithine carbamoyltransferase deficiency, what compounds that treat ornithine carbamoyltransferase deficiency can be repurposed to treat Reye syndrome?"
30,X-linked dominant hypophosphatemic rickets,osteogenesis imperfecta,"['SOMATROPIN', 'Risedronic acid', 'Zoledronic acid', 'DENOSUMAB', 'Pamidronic acid']","If X-linked dominant hypophosphatemic rickets resembles osteogenesis imperfecta, what compounds that treat osteogenesis imperfecta can be repurposed to treat X-linked dominant hypophosphatemic rickets?"
31,optic atrophy,osteopetrosis,"['Calcitriol', 'Interferon gamma-1b']","If optic atrophy resembles osteopetrosis, what compounds that treat osteopetrosis can be repurposed to treat optic atrophy?"
32,nail disease,pachyonychia congenita,['Sirolimus'],"If nail disease resembles pachyonychia congenita, what compounds that treat pachyonychia congenita can be repurposed to treat nail disease?"
33,spinal cancer,paraganglioma,['Iobenguane (131I)'],"If spinal cancer resembles paraganglioma, what compounds that treat paraganglioma can be repurposed to treat spinal cancer?"
34,myotonic dystrophy type 1,paramyotonia congenita of Von Eulenburg,['Dichlorphenamide'],"If myotonic dystrophy type 1 resembles paramyotonia congenita of Von Eulenburg, what compounds that treat paramyotonia congenita of Von Eulenburg can be repurposed to treat myotonic dystrophy type 1?"
35,scimitar syndrome,patent ductus arteriosus,"['Ibuprofen', 'Indomethacin', 'Ibuprofen lysine', 'Alprostadil', 'Acetaminophen']","If scimitar syndrome resembles patent ductus arteriosus, what compounds that treat patent ductus arteriosus can be repurposed to treat scimitar syndrome?"
36,epulis,pemphigus,"['RITUXIMAB', 'Dexamethasone phosphate', 'Mycophenolate mofetil', 'Triamcinolone Acetonide', 'Rilzabrutinib', 'Cetirizine', 'Dexamethasone', 'OFATUMUMAB', 'Prednisolone', 'Cyclophosphamide', 'Prednisone', 'Acetaminophen']","If epulis resembles pemphigus, what compounds that treat pemphigus can be repurposed to treat epulis?"
37,Leber congenital amaurosis,peroxisomal disease,['Cholic acid'],"If Leber congenital amaurosis resembles peroxisomal disease, what compounds that treat peroxisomal disease can be repurposed to treat Leber congenital amaurosis?"
38,galactose epimerase deficiency,phenylketonuria,['Pegvaliase'],"If galactose epimerase deficiency resembles phenylketonuria, what compounds that treat phenylketonuria can be repurposed to treat galactose epimerase deficiency?"
39,adrenal gland cancer,pheochromocytoma,"['FILGRASTIM', 'Iobenguane (131I)', 'Phenoxybenzamine', 'Metyrosine', 'Doxorubicin', 'Ifosfamide', 'Phentolamine']","If adrenal gland cancer resembles pheochromocytoma, what compounds that treat pheochromocytoma can be repurposed to treat adrenal gland cancer?"
40,papillary craniopharyngioma,pituitary adenoma,"['Lanreotide acetate', 'Cabergoline', 'Iopamidol']","If papillary craniopharyngioma resembles pituitary adenoma, what compounds that treat pituitary adenoma can be repurposed to treat papillary craniopharyngioma?"
41,myelofibrosis,polycythemia vera,"['Ruxolitinib', 'Aspirin', 'Pacritinib', 'ROPEGINTERFERON ALFA-2B', 'Pipobroman', 'PEGINTERFERON ALFA-2A', 'Hydroxyurea', 'PEGINTERFERON ALFA-2B', 'INTERFERON ALFA', 'Anagrelide']","If myelofibrosis resembles polycythemia vera, what compounds that treat polycythemia vera can be repurposed to treat myelofibrosis?"
42,Sezary's disease,primary cutaneous T-cell non-Hodgkin lymphoma,"['Vorinostat', 'Hypericin', 'Romidepsin', 'DENILEUKIN DIFTITOX', 'MOGAMULIZUMAB', 'Bexarotene', 'Mechlorethamine']","If Sezary's disease resembles primary cutaneous T-cell non-Hodgkin lymphoma, what compounds that treat primary cutaneous T-cell non-Hodgkin lymphoma can be repurposed to treat Sezary's disease?"
43,thymus cancer,primary hyperaldosteronism,"['Mifepristone', 'Relacorilant', 'Ketoconazole', 'XL550', 'Metyrapone', 'Triamterene']","If thymus cancer resembles primary hyperaldosteronism, what compounds that treat primary hyperaldosteronism can be repurposed to treat thymus cancer?"
44,vascular skin disease,primary hyperoxaluria,"['Losartan', 'LUMASIRAN', 'Lisinopril', 'RELOXALIASE', 'LUMASIRAN SODIUM']","If vascular skin disease resembles primary hyperoxaluria, what compounds that treat primary hyperoxaluria can be repurposed to treat vascular skin disease?"
45,blepharophimosis,primary ovarian insufficiency,"['FILGRASTIM', 'CHORIOGONADOTROPIN ALFA', 'Estradiol cypionate', 'Estradiol valerate', 'ESTROGENS, ESTERIFIED', 'Equilin sulfate', 'Estradiol', 'Norethindrone acetate', 'FOLLITROPIN', 'Estrone sulfate']","If blepharophimosis resembles primary ovarian insufficiency, what compounds that treat primary ovarian insufficiency can be repurposed to treat blepharophimosis?"
46,entropion,progeria,['Lonafarnib'],"If entropion resembles progeria, what compounds that treat progeria can be repurposed to treat entropion?"
47,breast cancer,prostate cancer,"['Flutamide', 'Rucaparib camsylate', 'Medroxyprogesterone acetate', 'Choline C-11', 'Histrelin', 'Apalutamide', 'Fluciclovine (18F)', 'Risedronic acid', 'Buserelin', 'Relugolix', 'Atrasentan', 'Isopropyl Alcohol', 'LUTETIUM LU 177 VIPIVOTIDE TETRAXETAN', 'Nilutamide', 'Dutasteride', 'Tamsulosin', 'Hydrocortisone', 'Tasquinimod', 'SIPULEUCEL-T', 'Cyproterone acetate', 'Meloxicam', 'Finasteride', 'Abiraterone']","If breast cancer resembles prostate cancer, what compounds that treat prostate cancer can be repurposed to treat breast cancer?"
48,membranous glomerulonephritis,proteinuria,"['RITUXIMAB', 'Losartan', 'Silibinin', 'Amlodipine', 'Olmesartan medoxomil', 'Paricalcitol', 'Dextromethorphan', 'Enalapril', '(1E,4Z,6E)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one', 'Candesartan cilexetil']","If membranous glomerulonephritis resembles proteinuria, what compounds that treat proteinuria can be repurposed to treat membranous glomerulonephritis?"
49,dysgerminoma,pseudohermaphroditism,['Testosterone'],"If dysgerminoma resembles pseudohermaphroditism, what compounds that treat pseudohermaphroditism can be repurposed to treat dysgerminoma?"
50,kidney cancer,renal cell carcinoma,"['BEMPEGALDESLEUKIN', 'DURVALUMAB', 'CM-082', 'HYALURONIDASE (HUMAN RECOMBINANT)', 'TREMELIMUMAB', 'ROCAPULDENCEL-T', 'Tivozanib', 'Savolitinib', 'VITESPEN', 'AVELUMAB', 'QUAVONLIMAB', 'Epacadostat', 'Abexinostat', 'Belzutifan', 'DENOSUMAB', 'Dovitinib']","If kidney cancer resembles renal cell carcinoma, what compounds that treat renal cell carcinoma can be repurposed to treat kidney cancer?"
51,pica disease,restless legs syndrome,"['Gabapentin', 'Pregabalin', 'Rotigotine', 'Cabergoline', 'Gabapentin enacarbil', 'Levodopa', 'Ropinirole', 'Lisuride', 'Benserazide', 'Pramipexole', 'Naloxone', 'Oxycodone']","If pica disease resembles restless legs syndrome, what compounds that treat restless legs syndrome can be repurposed to treat pica disease?"
52,nephroblastoma,retinoblastoma,"['FILGRASTIM', 'azane;dichloroplatinum', 'Thiotepa', '1,1-Cyclobutanedicarboxylic acid', 'Topotecan', 'Vincristine', 'Etoposide', 'Cyclophosphamide']","If nephroblastoma resembles retinoblastoma, what compounds that treat retinoblastoma can be repurposed to treat nephroblastoma?"
53,lymphedema,rosacea,"['Isotretinoin', 'Tretinoin', 'Minocycline', 'Doxycycline', 'Brimonidine', 'Alphagan', 'Metronidazole', 'Oxymetazoline', 'Azelaic Acid', 'Omiganan', 'Ivermectine 100 microg/mL in Acetonitrile']","If lymphedema resembles rosacea, what compounds that treat rosacea can be repurposed to treat lymphedema?"
54,skin disease,skin benign neoplasm,"['Linrodostat', 'azane;dichloroplatinum', 'NIVOLUMAB', 'ALDESLEUKIN', 'Titanium Dioxide', 'DIMETHICONE', 'INTERFERON ALFA', 'Salicylic Acid']","If skin disease resembles skin benign neoplasm, what compounds that treat skin benign neoplasm can be repurposed to treat skin disease?"
55,skin disease,skin cancer,"['Avobenzone', 'Vinblastine', 'Linrodostat', 'azane;dichloroplatinum', 'Octyl methoxycinnamate', 'Dacarbazine', 'NIVOLUMAB', 'ZINC hydrate', 'Sirolimus', 'ALDESLEUKIN', 'cyclosporin A', 'Titanium Dioxide', 'Tacrolimus', 'DIMETHICONE', 'Everolimus', 'INTERFERON ALFA', 'Salicylic Acid']","If skin disease resembles skin cancer, what compounds that treat skin cancer can be repurposed to treat skin disease?"
56,ectodermal dysplasia,skin disease,"['Halcinonide', 'Ceftobiprole medocaril sodium salt', 'Fluocinolone acetonide', 'Iclaprim', 'Triamcinolone', 'Tedizolid phosphate', 'Diflorasone diacetate', 'Betamethasone valerate', 'Dexpanthenol', 'Flucloxacillin', 'Moxifloxacin', 'Fluocinonide', 'Desoximetasone', 'Triamcinolone Acetonide', 'Linezolid', 'Tigecycline', 'Hydrocortisone probutate', 'Prednicarbate', 'Tazidime', ""1-[(4-Chlorophenyl)(phenyl)methyl]-4-[2-(2-hydroxyethoxy)ethyl]piperazinediium 4,4'-methylenebis(3-hydroxynaphthalene-2-carboxylate)"", 'Fluticasone Propionate', 'Clobetasol Propionate', 'Hydrocortisone butyrate', 'Aztreonam', 'Daptomycin', 'Hydrocortisone acetate', 'Betamethasone dipropionate', 'Cephalexin', 'Vancomycin', 'Alclometasone dipropionate', 'Clindamycin', 'Levofloxacin', 'Omadacycline', 'Cefazolin', 'Flurandrenolide', 'Desonide', 'Metronidazole', 'Halobetasol propionate', 'Mometasone furoate', 'Salicylic Acid']","If ectodermal dysplasia resembles skin disease, what compounds that treat skin disease can be repurposed to treat ectodermal dysplasia?"
57,trachea leiomyoma,squamous cell carcinoma,"['RETIFANLIMAB', 'CEMIPLIMAB', 'Lenvatinib', 'Podofilox', 'Afatinib', 'DURVALUMAB', 'Erlotinib', 'PEMBROLIZUMAB', 'Tirapazamine', 'Hydroxyurea', 'Methotrexate', 'Etoposide', 'CETUXIMAB', 'NIMOTUZUMAB', 'ATEZOLIZUMAB', 'Gemcitabine', 'CAMRELIZUMAB', 'IPILIMUMAB', 'PELAREOREP', 'Fluorouracil', 'azane;dichloroplatinum', 'ZALUTUMUMAB', 'Amifostine', 'Tretinoin', '1,1-Cyclobutanedicarboxylic acid', 'Nimorazole', 'FINOTONLIMAB', 'HAFNIUM OXIDE', 'PALIFERMIN', 'Iniparib', 'PENPULIMAB', 'Xevinapant', 'Cyclophosphamide', 'FIGITUMUMAB', 'TECHNETIUM TC 99M TILMANOCEPT', 'Paclitaxel', 'Capecitabine', 'Bleomycin a2', 'NIVOLUMAB', 'TREMELIMUMAB', 'Gefitinib', 'AVELUMAB', 'PANITUMUMAB', 'MONALIZUMAB', 'Aspirin', 'Raltitrexed', 'Palbociclib', 'Docetaxel']","If trachea leiomyoma resembles squamous cell carcinoma, what compounds that treat squamous cell carcinoma can be repurposed to treat trachea leiomyoma?"
58,neurohypophyseal diabetes insipidus,syndrome,"['Diltiazem', 'Bivalirudin', 'Furosemide']","If neurohypophyseal diabetes insipidus resembles syndrome, what compounds that treat syndrome can be repurposed to treat neurohypophyseal diabetes insipidus?"
59,mast-cell sarcoma,systemic mastocytosis,"['Midostaurin', 'Masitinib']","If mast-cell sarcoma resembles systemic mastocytosis, what compounds that treat systemic mastocytosis can be repurposed to treat mast-cell sarcoma?"
60,mixed connective tissue disease,thrombotic thrombocytopenic purpura,"['RITUXIMAB', 'cyclosporin A', 'APADAMTASE ALFA', 'Prednisolone', 'Prednisone', 'Magnesium Sulfate', 'CAPLACIZUMAB']","If mixed connective tissue disease resembles thrombotic thrombocytopenic purpura, what compounds that treat thrombotic thrombocytopenic purpura can be repurposed to treat mixed connective tissue disease?"
61,thyroid gland papillary carcinoma,thyroid gland carcinoma,"['Dabrafenib', 'Lenvatinib', 'Apatinib', 'Sodium iodide I 131', 'Selumetinib', 'Fosbretabulin', 'Sorafenib', '1,1-Cyclobutanedicarboxylic acid', 'Fibrin', 'Metformin', 'THYROTROPIN ALFA', 'Vandetanib', 'Iodine', 'Trametinib', 'Sodium iodide I 123', 'Paclitaxel', 'THYROID', 'Levothyroxine', 'Selpercatinib', 'Liothyronine', 'Cabozantinib', 'Donafenib']","If thyroid gland papillary carcinoma resembles thyroid gland carcinoma, what compounds that treat thyroid gland carcinoma can be repurposed to treat thyroid gland papillary carcinoma?"
62,diabetic polyneuropathy,type 2 diabetes mellitus,"['soybean oil', 'INSULIN EFSITORA ALFA', 'Balaglitazone', '(2R,3S,4R,5R,6S)-2-[(2R,3S,4S,5S)-2,5-bis(chloromethyl)-3,4-dihydroxyoxolan-2-yl]oxy-5-chloro-6-(hydroxymethyl)oxane-3,4-diol', 'Lobeglitazone', 'INSULIN SUSP ISOPHANE RECOMBINANT HUMAN', 'Miglitol', 'Retagliptin', 'heparin', 'Levemir', 'INSULIN DEGLUDEC', 'Chiglitazar', 'Diltiazem', 'Saxagliptin', 'Evogliptin', 'ALBIGLUTIDE', 'Valsartan', 'Allopurinol', 'Rivaroxaban', 'Pramlintide', 'Nateglinide', 'INSULIN PEGLISPRO', 'Azilsartan', 'Biotin', 'Ertugliflozin', 'Canagliflozin', 'INSULIN PORK', 'Hydralazine', 'Terazosin', 'Chlorthalidone', 'MITIGLINIDE CALCIUM DIHYDRATE', 'Esomeprazole', 'insulin', 'Rosiglitazone', 'Lovaza', 'Folic Acid', '2,4-Thiazolidinedione', 'Amlodipine', 'Precose', '(2S,4S)-1-(2-((1,1-Dimethyl-3-oxo-3-(1-pyrrolidinyl)propyl)amino)acetyl)-4-fluoro-2-pyrrolidinecarbonitrile', 'Avexitide', 'DULAGLUTIDE', 'Fenofibric acid', 'Fenofibrate', 'Repaglinide', 'Bromocriptine', 'Pyridoxine', 'Pioglitazone', 'Semaglutide', 'Omarigliptin', '2-Methoxy-5-(2,4-dioxo-5-thiazolidinyl)-N-((4-(trifluoromethyl)phenyl)methyl)benzamide', 'Taranabant', 'Lapaquistat acetate', 'Pitavastatin', 'Trelagliptin', 'Tirzepatide', 'Candesartan cilexetil', 'Ranolazine', 'Simvastatin', 'Benazepril', 'Ezetimibe', 'beta-Lactose', 'Dapagliflozin', 'Exenatide Synthetic', 'Bosentan', 'Ipragliflozin', 'Triamterene', 'Chlorpropamide', 'Linagliptin', 'Ursodeoxycholic acid', 'Anagliptin', 'Ergocalciferol', 'Tyrosine', 'INSULIN ASPART', 'Gliclazide', 'Bexagliflozin', 'Perindopril', 'Nicotinic acid', 'Metformin', 'Alogliptin', 'Berberine', 'Carvedilol', 'Irbesartan', 'Gosogliptin', 'EFPEGLENATIDE', 'Sodium Chloride', '2,3-dihydroxybutanedioic acid;[(2R)-1-[2-[[(3R)-pyrrolidin-3-yl]amino]acetyl]pyrrolidin-2-yl]boronic acid', '2-(((R)-2,3-Dihydroxypropyl)phosphoryloxy)-N,N,N-trimethylethanaminium', 'Gemigliptin', 'Empagliflozin', 'colesevelam hydrochloride', 'Dorzagliatin', 'Telmisartan', 'Glipizide', 'INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN', 'Lixisenatide', 'Muraglitazar', 'Liraglutide', 'Biguanide', 'Tolazamide', 'Vildagliptin', 'INSULIN SUSP ISOPHANE BEEF', 'Fasiglifam', 'Cholecalciferol', 'INSULIN GLULISINE', 'Lisinopril', 'Topiramate', 'Furosemide', 'Laropiprant', 'Ticagrelor', 'Indapamide', 'Rimonabant', 'Sotagliflozin', 'Candesartan', 'Chlorothiazide', 'Reserpine', 'Henagliflozin', 'Voglibose', 'Hydrochlorothiazide', 'Metoprolol', 'Sitagliptin', 'Urea', 'Dutogliptin', 'Aleglitazar', '(3S,4S,5R)-1,3,4,5,6-pentahydroxyhexan-2-one', 'Mitiglinide', 'Rivoglitazone', 'Tolbutamide', 'Teneligliptin', 'INSULIN LISPRO', 'Glimepiride', 'Magnesium Oxide', 'Felodipine', 'Aspirin', 'Ramipril', 'INSULIN GLARGINE', 'Tesaglitazar', 'Atorvastatin', 'Glyburide']","If diabetic polyneuropathy resembles type 2 diabetes mellitus, what compounds that treat type 2 diabetes mellitus can be repurposed to treat diabetic polyneuropathy?"
63,citrullinemia,urea cycle disorder,"['4-Phenylbutyric acid', 'Glycerol phenylbutyrate']","If citrullinemia resembles urea cycle disorder, what compounds that treat urea cycle disorder can be repurposed to treat citrullinemia?"
