,disease_1,Compounds,Diseases,text
10,Langerhans-cell histiocytosis,"['Vinblastine', 'Cytarabine', 'Vincristine', 'Mercaptopurine', 'Prednisone']","['lipid storage disease', 'Froelich syndrome', 'hypopituitarism', 'malignant histiocytic disease', 'epulis', 'gingival disease', 'Birt-Hogg-Dube syndrome', 'cutaneous fibrous histiocytoma', 'orbital disease', 'hypothalamic disease', 'skull cancer', 'interdigitating dendritic cell sarcoma', 'anus disease', 'exanthem', 'Sheehan syndrome', 'neurohypophyseal diabetes insipidus', 'vulvar disease', 'histiocytosis', 'primary sclerosing cholangitis', 'xanthomatosis', 'juvenile xanthogranuloma', 'fibrous histiocytoma', 'diabetes insipidus', 'hemophagocytic lymphohistiocytosis', 'hypothalamic neoplasm', 'reticulohistiocytic granuloma', 'nail disease', 'Langerhans cell sarcoma', 'histiocytic sarcoma', 'severe combined immunodeficiency', 'scalp dermatosis', 'eyelid disease', 'mastoiditis', 'Erdheim-Chester disease', 'MHC class II deficiency', 'sclerosing cholangitis', 'hairy cell leukemia', 'non-Langerhans-cell histiocytosis', 'lymphangioleiomyomatosis']",What compounds treat 'Langerhans-cell histiocytosis' and what diseases resemble 'Langerhans-cell histiocytosis'?
11,Leber congenital amaurosis,['VORETIGENE NEPARVOVEC'],"['coloboma', 'retinal degeneration', 'optic nerve disease', 'Bardet-Biedl syndrome', 'fundus dystrophy', 'Coats disease', 'red-green color blindness', 'night blindness', 'congenital nystagmus', 'Leber hereditary optic neuropathy', 'red color blindness', 'optic atrophy', 'achromatopsia', 'amelogenesis imperfecta', 'peroxisomal disease', 'retinitis pigmentosa', 'choroideremia', 'hypertrichosis', 'acquired color blindness', 'Foster-Kennedy syndrome', 'cystic kidney disease', 'blue color blindness', 'color blindness']",What compounds treat 'Leber congenital amaurosis' and what diseases resemble 'Leber congenital amaurosis'?
12,Lennox-Gastaut syndrome,"['Cannabidiol', 'Perampanel', 'Clobazam', 'Rufinamide', 'Lamotrigine', 'Topiramate', 'Soticlestat']","['West syndrome', 'Landau-Kleffner syndrome', 'status epilepticus', 'focal epilepsy', 'early myoclonic encephalopathy', 'idiopathic generalized epilepsy']",What compounds treat 'Lennox-Gastaut syndrome' and what diseases resemble 'Lennox-Gastaut syndrome'?
13,Lyme disease,"['Doxycycline', 'Sodium Chloride', 'Ceftriaxone', 'Permethrin']","['aseptic meningitis', 'polyneuropathy', 'encephalomyelitis', ""Bell's palsy"", 'louse-borne relapsing fever', 'meningoencephalitis', 'reactive arthritis', 'granulomatous angiitis', 'critical illness polyneuropathy', 'polyradiculoneuropathy', 'Rocky Mountain spotted fever', 'myelitis', 'bacterial meningitis', 'babesiosis', 'tick-borne encephalitis', 'Siberian tick typhus', 'radiculopathy', 'suppurative uveitis', 'cranial nerve palsy', 'facial paralysis', 'acrodermatitis', 'central nervous system vasculitis', 'geographic tongue', 'connective tissue disease', 'dirofilariasis', 'ehrlichiosis', 'neuritis', 'atrioventricular block', 'relapsing fever', 'rickettsialpox', 'spotted fever', 'localized scleroderma', 'scleroderma', 'cranial nerve disease', 'motor neuritis', 'tick infestation', 'septic arthritis']",What compounds treat 'Lyme disease' and what diseases resemble 'Lyme disease'?
14,Marfan syndrome,"['Nebivolol', 'Losartan', 'Atenolol', 'Perindopril', 'Aliskiren']","['coloboma', 'Loeys-Dietz syndrome', 'Ehlers-Danlos syndrome', 'Weill-Marchesani syndrome', 'bicuspid aortic valve disease', 'mitral valve prolapse', 'homocystinuria', 'intracranial hypotension', 'DiGeorge syndrome', 'osteogenesis imperfecta', 'lens subluxation', 'pseudoxanthoma elasticum', 'craniosynostosis', 'tricuspid valve prolapse', 'aortic aneurysm', 'connective tissue disease', 'velocardiofacial syndrome', 'coronary aneurysm', 'progeria', 'cutis laxa', 'mucopolysaccharidosis I', 'osteogenesis imperfecta type 1', 'isolated ectopia lentis', 'mucopolysaccharidosis Ih/s', 'blepharophimosis', 'meningocele', 'mucopolysaccharidosis Ih']",What compounds treat 'Marfan syndrome' and what diseases resemble 'Marfan syndrome'?
15,Menkes disease,['Histidine'],"['cutis laxa', 'hair disease', 'Ehlers-Danlos syndrome', 'cytochrome-c oxidase deficiency disease', 'Wilson disease', 'bladder disease']",What compounds treat 'Menkes disease' and what diseases resemble 'Menkes disease'?
16,Noonan syndrome,"['Simvastatin', 'SOMATROPIN']","['familial hypertrophic cardiomyopathy', 'coloboma', 'neurofibromatosis 1', 'giant cell reparative granuloma', 'Clouston syndrome', 'granular cell tumor', 'lymphangioma', 'cystic lymphangioma', 'Costello syndrome', 'juvenile myelomonocytic leukemia', 'factor XI deficiency', 'bone marrow cancer', 'craniosynostosis', 'hereditary lymphedema I', 'hemorrhagic disease', 'nodular tenosynovitis', 'cherubism', 'Noonan syndrome with multiple lentigines', 'isolated growth hormone deficiency', 'loose anagen hair syndrome', 'Turner syndrome', 'Moyamoya disease', 'ectodermal dysplasia', 'coronary aneurysm', 'lymphedema', 'neurofibromatosis', 'protein-losing enteropathy', 'tenosynovial giant cell tumor', 'atrioventricular septal defect', 'atrial heart septal defect', 'pulmonary valve stenosis', 'cryptorchidism', 'pigmented villonodular synovitis']",What compounds treat 'Noonan syndrome' and what diseases resemble 'Noonan syndrome'?
17,Parkinson's disease,"['Inosine', 'Sumanirole', 'Posiphen', 'Tyramine', 'Piribedil', 'Benztropine', 'Caffeine', 'Rifaximin', 'Rasagiline', 'Procyclidine', 'Donepezil', 'Amantadine', 'Profenamine', 'Trihexyphenidyl', 'Biperiden', 'Metixene', 'Cesamet', 'Rivastigmine', 'Pitolisant', 'Bromocriptine', 'Ropinirole', 'Selegiline', 'Lisuride', 'Buspirone', 'Pramipexole', 'Memantine', 'Preladenant', 'Oxycodone', 'Pergolide', 'Venlafaxine', 'Cabergoline', 'Tolcapone', 'Entacapone', 'Levodopa', 'Apomorphine', 'INCOBOTULINUMTOXINA', 'Benserazide', 'Atropine', 'Dopamine', 'Rivastigmine tartrate', 'Alpha-Tocopherol', 'Tavapadon', 'Ampreloxetine', 'Perampanel', 'Opicapone', 'Isradipine', 'Orphenadrine', 'Tozadenant', 'Coenzyme Q10', 'Rotigotine', 'Istradefylline', 'Pardoprunox', 'Duloxetine', 'Paroxetine', 'Carbidopa', 'Exenatide Synthetic', ""Levodopa-4'-monophosphate"", 'Naloxone', 'Creatine', 'Safinamide']","['neurodegenerative disease', 'essential tremor']",What compounds treat 'Parkinson's disease' and what diseases resemble 'Parkinson's disease'?
18,Sandhoff disease,['Miglustat'],"['glycoproteinosis', 'gangliosidosis', 'lateral sclerosis', 'motor neuron disease', 'Krabbe disease', 'GM1 gangliosidosis', 'mongolian spot', 'anterior horn cell disease', 'Tay-Sachs disease']",What compounds treat 'Sandhoff disease' and what diseases resemble 'Sandhoff disease'?
19,Sjogren-Larsson syndrome,['2-(3-Amino-6-chloroquinolin-2-yl)propan-2-ol'],"['autosomal recessive congenital ichthyosis', 'ichthyosis', 'mongolian spot']",What compounds treat 'Sjogren-Larsson syndrome' and what diseases resemble 'Sjogren-Larsson syndrome'?
20,Sly syndrome,['VESTRONIDASE ALFA'],"['mucopolysaccharidosis type IIIC', 'mucopolysaccharidosis VI', 'mucopolysaccharidosis type IIIB', 'mucopolysaccharidosis I', 'lysosomal storage disease', 'mucopolysaccharidosis Ih/s', 'mucopolysaccharidosis type IIID', 'mucopolysaccharidosis III', 'mucopolysaccharidosis type IIIA', 'mucopolysaccharidosis Ih']",What compounds treat 'Sly syndrome' and what diseases resemble 'Sly syndrome'?
21,Smith-Magenis syndrome,['Tasimelteon'],"['Angelman syndrome', 'velocardiofacial syndrome', 'Williams-Beuren syndrome', 'Birt-Hogg-Dube syndrome', 'DiGeorge syndrome']",What compounds treat 'Smith-Magenis syndrome' and what diseases resemble 'Smith-Magenis syndrome'?
22,Stargardt disease,"['1-(3-(4-(3,4-Difluoro-2-(trifluoromethyl)phenyl)piperidine-1-carbonyl)-1H,4H,5H,6H,7H-pyrazolo(3,4-C)pyridin-6-yl)ethan-1-one', 'Emixustat']","['choroid disease', 'fundus dystrophy', 'retinitis pigmentosa', 'scotoma']",What compounds treat 'Stargardt disease' and what diseases resemble 'Stargardt disease'?
23,Turner syndrome,"['SOMATROPIN', 'Oxandrolone', 'Medroxyprogesterone acetate', 'Equilin sulfate', 'Estradiol', 'Ethinyl estradiol']","['familial male-limited precocious puberty', 'pilomatrixoma', 'hypogonadism', 'McCune Albright syndrome', 'central precocious puberty', 'hypopituitarism', 'pseudohypoparathyroidism', 'malignant hyperthermia', 'bicuspid aortic valve disease', '46,XY sex reversal', 'cystic lymphangioma', 'lymphangioma', '46 XX gonadal dysgenesis', 'primary ovarian insufficiency', 'gonadoblastoma', 'Sheehan syndrome', 'nail-patella syndrome', 'gonadal dysgenesis', 'telangiectasis', 'pterygium', 'pseudopseudohypoparathyroidism', 'Klinefelter syndrome', 'ovarian disease', 'isolated growth hormone deficiency', 'androgen insensitivity syndrome', 'Prader-Willi syndrome', 'dysgerminoma', 'complete androgen insensitivity syndrome', 'fragile X syndrome', 'disorder of sexual development', 'mixed gonadal dysgenesis', 'Klippel-Feil syndrome', 'Noonan syndrome', 'hermaphroditism', 'autoimmune thyroiditis', 'pseudohermaphroditism', 'eunuchism', 'amenorrhea']",What compounds treat 'Turner syndrome' and what diseases resemble 'Turner syndrome'?
24,Wolff-Parkinson-White syndrome,"['Propranolol', 'Adenosine']","['familial hypertrophic cardiomyopathy', 'Lown-Ganong-Levine syndrome', 'rheumatic heart disease', 'Ebstein anomaly', 'dextrocardia', 'Danon disease', 'Brugada syndrome', 'mitral valve prolapse']",What compounds treat 'Wolff-Parkinson-White syndrome' and what diseases resemble 'Wolff-Parkinson-White syndrome'?
25,acute promyelocytic leukemia,"['Idarubicin', 'Tretinoin', 'Mitoxantrone', 'Indigo', 'Cytarabine', '2,4,6,8,9,10-Hexaoxa-1,3,5,7-tetraarsatricyclo[3.3.1.13,7]decane', 'Dexamethasone', 'Hydroxyurea', 'Methotrexate', 'Daunorubicin', 'Mercaptopurine']","['leukostasis', 'myeloid sarcoma', 'Sweet syndrome', 'central nervous system cancer', 'pseudotumor cerebri', 'disseminated intravascular coagulation', 'acute monocytic leukemia', 'acute myelomonocytic leukemia']",What compounds treat 'acute promyelocytic leukemia' and what diseases resemble 'acute promyelocytic leukemia'?
26,adrenal gland disease,"['1-[4-[4-[[2-(2,4-Dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone', 'Trilostane', 'Osilodrostat']","['familial male-limited precocious puberty', 'histoplasmosis', 'kidney cortex necrosis', 'Froelich syndrome', ""Conn's syndrome"", 'hypopituitarism', 'central precocious puberty', 'Alpers-Huttenlocher syndrome', 'primary hyperaldosteronism', 'Balo concentric sclerosis', 'hypothalamic disease', 'Carney complex', 'Beckwith-Wiedemann syndrome', 'Sheehan syndrome', 'inherited metabolic disorder', 'xanthomatosis', 'adrenal cortex cancer', 'parathyroid gland disease', 'ovarian disease', 'American histoplasmosis', 'endocrine system disease', 'adrenal cortex disease', 'antiphospholipid syndrome', 'Waterhouse-Friderichsen syndrome', 'adrenal gland hyperfunction', ""Addison's disease"", 'male reproductive system disease', 'hypertrichosis', 'Wolman disease', 'disorder of sexual development', 'hermaphroditism', 'purpura fulminans', 'pseudohermaphroditism', 'hematocele of tunica vaginalis testis']",What compounds treat 'adrenal gland disease' and what diseases resemble 'adrenal gland disease'?
27,agammaglobulinemia,"['GLOBULIN, IMMUNE']","['leukopenia', 'meningoencephalitis', 'blood protein disease', 'dysgammaglobulinemia', 'lymphopenia', 'Wiskott-Aldrich syndrome', 'campylobacteriosis', 'selective IgA deficiency disease', 'ataxia telangiectasia', 'tropical sprue', 'thymic carcinoma', 'chronic granulomatous disease', 'immunoglobulin alpha deficiency', 'pure red-cell aplasia', 'pyoderma', 'telangiectasis', 'giardiasis', 'X-linked hyper IgM syndrome', 'X-linked severe combined immunodeficiency', 'hyperglobulinemic purpura', 'vaccinia', 'ecthyma', 'severe combined immunodeficiency', 'polyarteritis nodosa', 'hypersplenism', 'protein-losing enteropathy', 'lymphoplasmacytic lymphoma', 'thymus cancer', 'collagen disease', 'pneumocystosis', 'agranulocytosis', 'autoimmune hemolytic anemia', 'MHC class II deficiency', 'pernicious anemia', 'thymoma', 'septic arthritis', 'selective IgG deficiency disease']",What compounds treat 'agammaglobulinemia' and what diseases resemble 'agammaglobulinemia'?
28,alopecia,"['Sodium Chloride', 'Dutasteride', 'Finasteride', 'Minoxidil']","['folliculitis', 'monilethrix', 'leukopenia', 'anhidrosis', 'hypotrichosis', 'hypogonadism', 'Vogt-Koyanagi-Harada disease', 'facial dermatosis', 'X-linked ichthyosis', 'hair disease', 'anodontia', 'tinea favosa', 'lichen planus', 'Clouston syndrome', 'X-linked dominant hypophosphatemic rickets', 'Netherton syndrome', 'hypohidrosis', 'neurodermatitis', 'seborrheic infantile dermatitis', 'tinea capitis', 'optic atrophy', 'keratosis follicularis', 'follicular mucinosis', 'ichthyosis', 'skin disease', 'hypomelanosis of Ito', 'mucinoses', 'nail disease', 'ectodermal dysplasia', 'scalp dermatosis', 'parapsoriasis', 'seborrheic dermatitis', 'localized scleroderma', 'alopecia areata', 'hypertrichosis', 'Hallermann-Streiff syndrome', 'keratosis', 'scleroderma', 'vitiligo', 'tooth agenesis', 'mycosis fungoides', 'hyperandrogenism']",What compounds treat 'alopecia' and what diseases resemble 'alopecia'?
29,alopecia areata,"['Deuruxolitinib', 'Clobetasol Propionate', '2-Propen-1-one, 1-[(2S,5R)-2-methyl-5-(7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-1-piperidinyl]-', 'Hydrocortisone', 'Methotrexate', 'Baricitinib', 'GARLIC']","['seborrheic dermatitis', 'follicular mucinosis', 'folliculitis', 'alopecia', 'hidradenitis suppurativa', 'hypertrichosis', 'hypomelanosis of Ito', 'loose anagen hair syndrome', 'nail disease', 'neurodermatitis', 'hair disease', 'vitiligo', 'scalp dermatosis', 'lichen planus', 'tinea capitis', 'autoimmune polyendocrine syndrome']",What compounds treat 'alopecia areata' and what diseases resemble 'alopecia areata'?
30,alpha thalassemia,['Pkr-IN-1'],"['hemoglobinopathy', 'hypochromic anemia', 'hereditary elliptocytosis', 'hereditary spherocytosis', 'glucosephosphate dehydrogenase deficiency']",What compounds treat 'alpha thalassemia' and what diseases resemble 'alpha thalassemia'?
31,alpha-mannosidosis,['VELMANASE ALFA'],"['mucopolysaccharidosis', 'lysosomal storage disease', 'fundus dystrophy', 'fucosidosis']",What compounds treat 'alpha-mannosidosis' and what diseases resemble 'alpha-mannosidosis'?
32,angioedema,"['Dexchlorpheniramine', 'Clemastine', 'OMALIZUMAB', 'Cortisone acetate', 'LANADELUMAB', 'HUMAN C1-ESTERASE INHIBITOR', 'Sodium Chloride', 'Icatibant', 'Carbinoxamine', 'Epinephrine']","['Melkersson-Rosenthal syndrome', 'orbital disease', 'tongue disease', 'fissured tongue', 'facial dermatosis', 'urticaria', 'lip disease', 'hereditary angioedema', 'loiasis', 'chronic urticaria', 'eyelid disease']",What compounds treat 'angioedema' and what diseases resemble 'angioedema'?
33,atypical hemolytic-uremic syndrome,"['RAVULIZUMAB', 'CROVALIMAB', 'Iptacopan', 'ECULIZUMAB', 'NARSOPLIMAB']","['plasma cell neoplasm', 'HELLP syndrome', 'paroxysmal nocturnal hemoglobinuria', 'membranoproliferative glomerulonephritis', 'thrombotic thrombocytopenic purpura', 'IgA glomerulonephritis', 'hemoglobinuria', 'hemolytic-uremic syndrome', 'hemolytic anemia', 'malignant hypertension']",What compounds treat 'atypical hemolytic-uremic syndrome' and what diseases resemble 'atypical hemolytic-uremic syndrome'?
34,azoospermia,"['Gabapentin', 'Letrozole', 'UROFOLLITROPIN', '2-[4-(2-chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethanamine']","['Klinefelter syndrome', 'male reproductive system disease', 'primary ovarian insufficiency', 'Sertoli cell-only syndrome', 'adrenal rest tumor', 'hypogonadism', 'spermatocele', 'orchitis', 'varicocele', 'testicular disease', 'oligospermia', 'cryptorchidism', 'spermatogenic failure 6']",What compounds treat 'azoospermia' and what diseases resemble 'azoospermia'?
35,bone marrow cancer,"['Hydroxyurea', 'Methotrexate', 'Etoposide', 'Ruxolitinib', 'Mitoxantrone', 'Tretinoin', 'Valspodar', 'Amphotericin B', 'Daunorubicin', 'Idarubicin', 'Thioguanine', 'Decitabine', 'Fludarabine phosphate', 'FILGRASTIM', 'Hydrocortisone', 'Cytarabine', 'Nystatin A1', 'LUSPATERCEPT', 'Anagrelide', 'ASPARAGINASE']","['myeloid sarcoma', 'erythromelalgia', 'myelophthisic anemia', 'aggressive systemic mastocytosis', 'immunodeficiency 21', 'atypical chronic myeloid leukemia, BCR-ABL1 negative', 'blood platelet disease', 'acute megakaryocytic leukemia', 'juvenile myelomonocytic leukemia', 'essential thrombocythemia', 'systemic mastocytosis', 'thrombocytosis', 'sideroblastic anemia', 'myelodysplastic/myeloproliferative neoplasm', 'polycythemia vera', 'indolent systemic mastocytosis', ""von Willebrand's disease"", 'bone marrow disease', 'Budd-Chiari syndrome', 'myelofibrosis', 'hypersensitivity reaction type IV disease', 'polycythemia', 'Noonan syndrome', 'osteosclerosis', 'splenic disease', 'mastocytosis']",What compounds treat 'bone marrow cancer' and what diseases resemble 'bone marrow cancer'?
36,brain cancer,"['Dianhydrogalactitol', 'Methotrexate', 'Magnesium Sulfate Heptahydrate', 'azane;dichloroplatinum', 'Tucatinib', 'Prednicarbate', 'Metformin', '2-Mercaptoethanesulfonic acid', 'Memantine', 'Tranexamic acid', 'Thioguanine', 'Dactinomycin', 'Thiotepa', 'Procarbazine', 'Motexafin', 'Modafinil', 'Methylprednisolone acetate', 'FILGRASTIM', 'Vincristine', 'Methylphenidate', 'Leucovorin']","['glioblastoma', 'mixed glioma', 'giant cell glioblastoma', 'high grade glioma']",What compounds treat 'brain cancer' and what diseases resemble 'brain cancer'?
37,bronchial disease,"['Theobromine', 'Acebrophylline', 'Levodropropizine', 'SYRUP', 'Azithromycin']","['pleural disease', 'bronchiolitis', 'osteochondrodysplasia', 'multiple epiphyseal dysplasia', 'chondromalacia', 'bronchial benign neoplasm', 'allergic bronchopulmonary aspergillosis', 'middle lobe syndrome', 'lymph node tuberculosis', 'granulomatosis with polyangiitis', 'tuberculosis', 'bagassosis', 'relapsing polychondritis', 'rhinoscleroma', 'tracheitis', 'trachea leiomyoma', 'bronchitis', 'anthracosis', 'laryngeal disease', 'bronchopneumonia', 'tracheal stenosis', 'actinomycosis', 'bronchus carcinoma', 'bronchiectasis', 'geotrichosis', 'mucormycosis', 'lung abscess', 'Melnick-Needles syndrome', 'esophageal disease', 'tracheal disease', 'Cor pulmonale', 'pulmonary plasma cell granuloma', 'laryngeal tuberculosis', 'pneumoconiosis', 'cartilage disease', 'lingual-facial-buccal dyskinesia']",What compounds treat 'bronchial disease' and what diseases resemble 'bronchial disease'?
38,bronchiectasis,"['Ciprofloxacin', 'Carbocysteine', 'Sodium Chloride', 'BENRALIZUMAB', 'Roflumilast', 'Formoterol', 'Brensocatib', 'Beclomethasone dipropionate', 'Mannitol', 'colistimethate sodium', 'Azithromycin']","['Kartagener syndrome', 'bronchiolitis', 'Mycobacterium avium complex disease', 'agammaglobulinemia', 'tuberculous empyema', 'dysgammaglobulinemia', 'secondary hypertrophic osteoarthropathy', 'bronchial benign neoplasm', 'allergic bronchopulmonary aspergillosis', 'middle lobe syndrome', 'pleurisy', 'dextrocardia', 'telangiectasis', 'chronic mucocutaneous candidiasis', 'bronchitis', 'situs inversus', 'primary ciliary dyskinesia', 'common variable immunodeficiency', 'selective IgG deficiency disease', 'bronchopneumonia', 'bronchus carcinoma', 'oligospermia', 'alpha 1-antitrypsin deficiency', 'bronchiolitis obliterans', 'lung abscess', 'yellow nail syndrome', 'lipid pneumonia', 'tracheal disease', 'Cor pulmonale', 'bronchial disease', 'hyperlucent lung', 'nocardiosis', 'ataxia telangiectasia']",What compounds treat 'bronchiectasis' and what diseases resemble 'bronchiectasis'?
